"","LHSandRHS","count","lift","confidence","support","count.x","lift.x","confidence.x","support.x","count.y","lift.y","confidence.y","support.y"
"1","comdiab=0,comdrogas=0  encerra2=2",35,1.15204678362573,0.087719298245614,0.0592216582064298,NA,NA,NA,NA,NA,NA,NA,NA
"2","fxet3=1,comdrogas=0  encerra2=2",36,1.12304038004751,0.0855106888361045,0.0609137055837563,NA,NA,NA,NA,NA,NA,NA,NA
"3","comdrogas=0,ppl=0  encerra2=2",40,1.11535739561217,0.0849256900212314,0.0676818950930626,NA,NA,NA,NA,NA,NA,NA,NA
"4","comdrogas=0,pdres5=1  encerra2=2",40,1.10132774283718,0.0838574423480084,0.0676818950930626,NA,NA,NA,NA,NA,NA,NA,NA
"5","sexo2=1,hiv3=2  encerra2=0",29,1.13653846153846,0.725,0.0490693739424704,NA,NA,NA,NA,NA,NA,NA,NA
"6","hiv3=2,alcool=0  encerra2=0",36,1.15173496454285,0.73469387755102,0.0609137055837563,NA,NA,NA,NA,NA,NA,NA,NA
"7","fxet3=2,pdres5=1  encerra2=3",18,2.31865736704446,0.290322580645161,0.0304568527918782,NA,NA,NA,NA,NA,NA,NA,NA
"8","escol4=1,comtabagis=1  encerra2=3",19,1.24379707576429,0.155737704918033,0.0321489001692047,NA,NA,NA,NA,NA,NA,NA,NA
"9","comtabagis=1,tipores3=1  encerra2=3",19,1.27515330456507,0.159663865546218,0.0321489001692047,NA,NA,NA,NA,NA,NA,NA,NA
"10","comtabagis=1,cavitacao=1  encerra2=3",19,1.21394594594595,0.152,0.0321489001692047,NA,NA,NA,NA,NA,NA,NA,NA
"11","hiv3=0,comtabagis=1  encerra2=3",19,1.24379707576429,0.155737704918033,0.0321489001692047,NA,NA,NA,NA,NA,NA,NA,NA
"12","comtabagis=1,pdres5=1  encerra2=3",22,1.1792127698168,0.147651006711409,0.0372250423011844,NA,NA,NA,NA,NA,NA,NA,NA
"13","raca3=0,bilateral=1  encerra2=3",24,1.26102418207681,0.157894736842105,0.0406091370558376,NA,NA,NA,NA,NA,NA,NA,NA
"14","raca3=0,escol4=1  encerra2=3",21,1.2705773955774,0.159090909090909,0.0355329949238579,NA,NA,NA,NA,NA,NA,NA,NA
"15","mumigual=0,bilateral=1  encerra2=3",31,1.21363275039746,0.151960784313725,0.0524534686971235,NA,NA,NA,NA,NA,NA,NA,NA
"16","escol4=1,mumigual=0  encerra2=3",33,1.2373429767796,0.154929577464789,0.0558375634517767,NA,NA,NA,NA,NA,NA,NA,NA
"17","mumigual=0,tipores3=1  encerra2=3",39,1.24589189189189,0.156,0.065989847715736,NA,NA,NA,NA,NA,NA,NA,NA
