"","LHSandRHS","count","lift","confidence","support","count.x","lift.x","confidence.x","support.x","count.y","lift.y","confidence.y","support.y"
"1","comdiab=0,cavitacao=0  encerra2=3",18,1.25908391525624,0.151260504201681,0.0304568527918782,NA,NA,NA,NA,NA,NA,NA,NA
"2","ppl=0,cavitacao=0  encerra2=3",20,1.23317683881064,0.148148148148148,0.0338409475465313,NA,NA,NA,NA,NA,NA,NA,NA
"3","pdres5=1,cavitacao=0  encerra2=3",20,1.23317683881064,0.148148148148148,0.0338409475465313,NA,NA,NA,NA,NA,NA,NA,NA
"4","sexo2=1,comtabagis=1  encerra2=3",18,1.31430689399555,0.157894736842105,0.0304568527918782,NA,NA,NA,NA,NA,NA,NA,NA
"5","comtabagis=1,tipores3=1  encerra2=3",18,1.31430689399555,0.157894736842105,0.0304568527918782,NA,NA,NA,NA,NA,NA,NA,NA
"6","comtabagis=1,cavitacao=1  encerra2=3",19,1.32903302165937,0.159663865546218,0.0321489001692047,NA,NA,NA,NA,NA,NA,NA,NA
"7","hiv3=0,comtabagis=1  encerra2=3",21,1.46893123446562,0.176470588235294,0.0355329949238579,NA,NA,NA,NA,NA,NA,NA,NA
"8","comtabagis=1,ppl=0  encerra2=3",22,1.30804828973843,0.157142857142857,0.0372250423011844,NA,NA,NA,NA,NA,NA,NA,NA
"9","alcool=1,bilateral=1  encerra2=3",18,1.46893123446562,0.176470588235294,0.0304568527918782,NA,NA,NA,NA,NA,NA,NA,NA
"10","alcool=1,ppl=0  encerra2=3",21,1.13508322663252,0.136363636363636,0.0355329949238579,NA,NA,NA,NA,NA,NA,NA,NA
"11","sexo2=0,bilateral=1  encerra2=3",23,1.59542253521127,0.191666666666667,0.038917089678511,NA,NA,NA,NA,NA,NA,NA,NA
"12","sexo2=0,raca3=1  encerra2=3",25,1.60075839653304,0.192307692307692,0.0423011844331641,NA,NA,NA,NA,NA,NA,NA,NA
"13","sexo2=0,escol4=1  encerra2=3",25,1.74872766007812,0.210084033613445,0.0423011844331641,NA,NA,NA,NA,NA,NA,NA,NA
"14","sexo2=0,tipores3=1  encerra2=3",27,1.57165369841426,0.188811188811189,0.0456852791878173,NA,NA,NA,NA,NA,NA,NA,NA
"15","sexo2=0,comtabagis=0  encerra2=3",26,1.23670020120724,0.148571428571429,0.0439932318104907,NA,NA,NA,NA,NA,NA,NA,NA
"16","sexo2=0,comdrogas=0  encerra2=3",28,1.23317683881064,0.148148148148148,0.0473773265651438,NA,NA,NA,NA,NA,NA,NA,NA
"17","mumigual=1,bilateral=1  encerra2=3",25,1.18237836107554,0.142045454545455,0.0423011844331641,NA,NA,NA,NA,NA,NA,NA,NA
