"","LHSandRHS","count","lift","confidence","support","count.x","lift.x","confidence.x","support.x","count.y","lift.y","confidence.y","support.y"
"1","hiv3=0,comdiab=0  encerra2=2",38,1.1159809183065,0.0981912144702842,0.0642978003384095,NA,NA,NA,NA,NA,NA,NA,NA
"2","comdiab=0,comdrogas=0  encerra2=2",41,1.14773588480485,0.100985221674877,0.0693739424703892,NA,NA,NA,NA,NA,NA,NA,NA
"3","comtabagis=1,ppl=0  encerra2=3",18,1.22360248447205,0.130434782608696,0.0304568527918782,NA,NA,NA,NA,NA,NA,NA,NA
"4","alcool=1,ppl=0  encerra2=3",18,1.20612244897959,0.128571428571429,0.0304568527918782,NA,NA,NA,NA,NA,NA,NA,NA
"5","raca3=0,bilateral=1  encerra2=3",20,1.22626828509181,0.130718954248366,0.0338409475465313,NA,NA,NA,NA,NA,NA,NA,NA
"6","mumigual=1,bilateral=1  encerra2=3",22,1.19295348197082,0.127167630057803,0.0372250423011844,NA,NA,NA,NA,NA,NA,NA,NA
"7","escol4=1,mumigual=0  encerra2=3",27,1.21189336978811,0.129186602870813,0.0456852791878173,NA,NA,NA,NA,NA,NA,NA,NA
"8","sexo2=1,mumigual=0  encerra2=3",28,1.19939117199391,0.127853881278539,0.0473773265651438,NA,NA,NA,NA,NA,NA,NA,NA
"9","mumigual=0,tipores3=1  encerra2=3",29,1.16259666259666,0.123931623931624,0.0490693739424704,NA,NA,NA,NA,NA,NA,NA,NA
"10","raca3=1,tipores3=1  encerra2=3",34,1.17261904761905,0.125,0.0575296108291032,NA,NA,NA,NA,NA,NA,NA,NA
"11","raca3=1,cavitacao=1  encerra2=3",37,1.23083417764269,0.131205673758865,0.0626057529610829,NA,NA,NA,NA,NA,NA,NA,NA
"12","escol4=1,tipores3=1  encerra2=3",40,1.28947799050892,0.13745704467354,0.0676818950930626,NA,NA,NA,NA,NA,NA,NA,NA
"13","escol4=1,alcool=0  encerra2=3",33,1.20455808782657,0.1284046692607,0.0558375634517767,NA,NA,NA,NA,NA,NA,NA,NA
"14","escol4=1,cavitacao=1  encerra2=3",43,1.35818502485169,0.144781144781145,0.0727580372250423,NA,NA,NA,NA,NA,NA,NA,NA
"15","escol4=1,comdrogas=0  encerra2=3",40,1.24663819015978,0.132890365448505,0.0676818950930626,NA,NA,NA,NA,NA,NA,NA,NA
"16","bilateral=1,tipores3=1  encerra2=3",38,1.21664228831464,0.129692832764505,0.0642978003384095,NA,NA,NA,NA,NA,NA,NA,NA
"17","cavitacao=1,bilateral=1  encerra2=3",41,1.2171488848704,0.129746835443038,0.0693739424703892,NA,NA,NA,NA,NA,NA,NA,NA
"18","comdrogas=0,bilateral=1  encerra2=3",42,1.25079365079365,0.133333333333333,0.0710659898477157,NA,NA,NA,NA,NA,NA,NA,NA
"19","ppl=0,bilateral=1  encerra2=3",48,1.22028648857917,0.130081300813008,0.0812182741116751,NA,NA,NA,NA,NA,NA,NA,NA
"20","sexo2=1,cavitacao=1  encerra2=3",37,1.11966205837174,0.119354838709677,0.0626057529610829,NA,NA,NA,NA,NA,NA,NA,NA
"21","cavitacao=1,tipores3=1  encerra2=3",44,1.16599408124832,0.124293785310734,0.0744500846023689,NA,NA,NA,NA,NA,NA,NA,NA
"22","ppl=0,tipores3=1  encerra2=3",51,1.12044161927066,0.11943793911007,0.0862944162436548,NA,NA,NA,NA,NA,NA,NA,NA
"23","ppl=0,cavitacao=1  encerra2=3",54,1.12073324905183,0.119469026548673,0.0913705583756345,NA,NA,NA,NA,NA,NA,NA,NA
"24","sexo2=0,hiv3=2  encerra2=0",21,1.15731070496084,0.75,0.0355329949238579,NA,NA,NA,NA,NA,NA,NA,NA
"25","hiv3=2,bilateral=0  encerra2=0",24,1.23446475195822,0.8,0.0406091370558376,NA,NA,NA,NA,NA,NA,NA,NA
"26","escol4=0,hiv3=2  encerra2=0",18,1.15731070496084,0.75,0.0304568527918782,NA,NA,NA,NA,NA,NA,NA,NA
"27","raca3=0,hiv3=2  encerra2=0",24,1.15731070496084,0.75,0.0406091370558376,NA,NA,NA,NA,NA,NA,NA,NA
"28","hiv3=2,alcool=0  encerra2=0",37,1.11949009368761,0.725490196078431,0.0626057529610829,NA,NA,NA,NA,NA,NA,NA,NA
"29","comtabagis=0,comdrogas=1  encerra2=1",18,2.24288425047438,0.352941176470588,0.0304568527918782,NA,NA,NA,NA,NA,NA,NA,NA
"30","comdrogas=1,cavitacao=1  encerra2=1",23,2.03001792114695,0.319444444444444,0.038917089678511,NA,NA,NA,NA,NA,NA,NA,NA
"31","comdiab=0,comdrogas=1  encerra2=1",28,2.06901725431358,0.325581395348837,0.0473773265651438,NA,NA,NA,NA,NA,NA,NA,NA
"32","comdiab=0,cavitacao=0  encerra2=1",19,1.14992319508449,0.180952380952381,0.0321489001692047,NA,NA,NA,NA,NA,NA,NA,NA
"33","fxet3=1,cavitacao=0  encerra2=1",19,1.16098014888337,0.182692307692308,0.0321489001692047,NA,NA,NA,NA,NA,NA,NA,NA
"34","mumigual=0,comtabagis=1  encerra2=1",20,1.60881992650061,0.253164556962025,0.0338409475465313,NA,NA,NA,NA,NA,NA,NA,NA
"35","raca3=1,comtabagis=1  encerra2=1",18,1.48554671135316,0.233766233766234,0.0304568527918782,NA,NA,NA,NA,NA,NA,NA,NA
"36","comtabagis=1,bilateral=1  encerra2=1",23,1.47637666992506,0.232323232323232,0.038917089678511,NA,NA,NA,NA,NA,NA,NA,NA
"37","comtabagis=1,tipores3=1  encerra2=1",24,1.34970025692264,0.212389380530973,0.0406091370558376,NA,NA,NA,NA,NA,NA,NA,NA
"38","comtabagis=1,cavitacao=1  encerra2=1",26,1.42436040044494,0.224137931034483,0.0439932318104907,NA,NA,NA,NA,NA,NA,NA,NA
"39","fxet3=1,comtabagis=1  encerra2=1",29,1.4511049022098,0.228346456692913,0.0490693739424704,NA,NA,NA,NA,NA,NA,NA,NA
"40","comtabagis=1,ppl=0  encerra2=1",30,1.38148667601683,0.217391304347826,0.050761421319797,NA,NA,NA,NA,NA,NA,NA,NA
"41","comtabagis=1,pdres5=1  encerra2=1",30,1.37154792295196,0.215827338129496,0.050761421319797,NA,NA,NA,NA,NA,NA,NA,NA
"42","mumigual=0,alcool=1  encerra2=1",21,1.64755077658303,0.259259259259259,0.0355329949238579,NA,NA,NA,NA,NA,NA,NA,NA
"43","raca3=1,alcool=1  encerra2=1",25,1.65490591397849,0.260416666666667,0.0423011844331641,NA,NA,NA,NA,NA,NA,NA,NA
"44","alcool=1,bilateral=1  encerra2=1",28,1.79732811990877,0.282828282828283,0.0473773265651438,NA,NA,NA,NA,NA,NA,NA,NA
"45","sexo2=1,alcool=1  encerra2=1",30,1.56266525647805,0.245901639344262,0.050761421319797,NA,NA,NA,NA,NA,NA,NA,NA
