"","LHSandRHS","count","lift","confidence","support","count.x","lift.x","confidence.x","support.x","count.y","lift.y","confidence.y","support.y"
"1","escol4=1,alcool=1  encerra2=3",19,1.4972,0.152,0.0321489001692047,NA,NA,NA,NA,NA,NA,NA,NA
"2","sexo2=1,alcool=1  encerra2=3",19,1.45077519379845,0.147286821705426,0.0321489001692047,NA,NA,NA,NA,NA,NA,NA,NA
"3","hiv3=0,alcool=1  encerra2=3",18,1.45327868852459,0.147540983606557,0.0304568527918782,NA,NA,NA,NA,NA,NA,NA,NA
"4","alcool=1,comdrogas=0  encerra2=3",19,1.83480392156863,0.186274509803922,0.0321489001692047,NA,NA,NA,NA,NA,NA,NA,NA
"5","raca3=1,mumigual=0  encerra2=3",30,1.30752212389381,0.132743362831858,0.050761421319797,NA,NA,NA,NA,NA,NA,NA,NA
"6","raca3=1,escol4=1  encerra2=3",36,1.4184,0.144,0.0609137055837563,NA,NA,NA,NA,NA,NA,NA,NA
"7","raca3=1,comdrogas=0  encerra2=3",39,1.28909395973154,0.130872483221477,0.065989847715736,NA,NA,NA,NA,NA,NA,NA,NA
"8","mumigual=0,bilateral=1  encerra2=3",27,1.30367647058824,0.132352941176471,0.0456852791878173,NA,NA,NA,NA,NA,NA,NA,NA
"9","escol4=1,mumigual=0  encerra2=3",31,1.37545045045045,0.13963963963964,0.0524534686971235,NA,NA,NA,NA,NA,NA,NA,NA
"10","sexo2=1,mumigual=0  encerra2=3",28,1.24234234234234,0.126126126126126,0.0473773265651438,NA,NA,NA,NA,NA,NA,NA,NA
"11","mumigual=0,tipores3=1  encerra2=3",32,1.23607843137255,0.125490196078431,0.0541455160744501,NA,NA,NA,NA,NA,NA,NA,NA
"12","mumigual=0,cavitacao=1  encerra2=3",34,1.18339222614841,0.120141342756184,0.0575296108291032,NA,NA,NA,NA,NA,NA,NA,NA
"13","mumigual=0,ppl=0  encerra2=3",39,1.13318584070796,0.115044247787611,0.065989847715736,NA,NA,NA,NA,NA,NA,NA,NA
"14","bilateral=1,tipores3=1  encerra2=3",35,1.19704861111111,0.121527777777778,0.0592216582064298,NA,NA,NA,NA,NA,NA,NA,NA
"15","cavitacao=1,bilateral=1  encerra2=3",36,1.20612244897959,0.122448979591837,0.0609137055837563,NA,NA,NA,NA,NA,NA,NA,NA
"16","escol4=1,comtabagis=0  encerra2=3",36,1.35862068965517,0.137931034482759,0.0609137055837563,NA,NA,NA,NA,NA,NA,NA,NA
"17","escol4=1,cavitacao=1  encerra2=3",42,1.37441860465116,0.13953488372093,0.0710659898477157,NA,NA,NA,NA,NA,NA,NA,NA
"18","cavitacao=1,tipores3=1  encerra2=3",39,1.10387931034483,0.112068965517241,0.065989847715736,NA,NA,NA,NA,NA,NA,NA,NA
"19","raca3=0,hiv3=2  encerra2=0",24,1.13408491244903,0.727272727272727,0.0406091370558376,NA,NA,NA,NA,NA,NA,NA,NA
"20","mumigual=1,comdiab=1  encerra2=0",25,1.14659320192457,0.735294117647059,0.0423011844331641,NA,NA,NA,NA,NA,NA,NA,NA
"21","alcool=1,comdrogas=1  encerra2=1",20,2.29737609329446,0.408163265306122,0.0338409475465313,NA,NA,NA,NA,NA,NA,NA,NA
"22","raca3=1,comdrogas=1  encerra2=1",21,2.23018867924528,0.39622641509434,0.0355329949238579,NA,NA,NA,NA,NA,NA,NA,NA
"23","comdrogas=1,pdres5=1  encerra2=1",35,2.03092783505155,0.360824742268041,0.0592216582064298,NA,NA,NA,NA,NA,NA,NA,NA
"24","raca3=1,comtabagis=1  encerra2=1",21,1.37441860465116,0.244186046511628,0.0355329949238579,NA,NA,NA,NA,NA,NA,NA,NA
"25","sexo2=1,comtabagis=1  encerra2=1",27,1.32149068322981,0.234782608695652,0.0456852791878173,NA,NA,NA,NA,NA,NA,NA,NA
"26","hiv3=0,comtabagis=1  encerra2=1",26,1.30663265306122,0.232142857142857,0.0439932318104907,NA,NA,NA,NA,NA,NA,NA,NA
"27","cavitacao=1,tipores3=0  encerra2=1",22,1.13604193971166,0.201834862385321,0.0372250423011844,NA,NA,NA,NA,NA,NA,NA,NA
"28","alcool=1,comtabagis=0  encerra2=1",19,1.62034632034632,0.287878787878788,0.0321489001692047,NA,NA,NA,NA,NA,NA,NA,NA
"29","raca3=1,bilateral=0  encerra2=1",28,1.15882352941176,0.205882352941176,0.0473773265651438,NA,NA,NA,NA,NA,NA,NA,NA
"30","sexo2=1,raca3=1  encerra2=1",46,1.1715578539108,0.208144796380091,0.077834179357022,NA,NA,NA,NA,NA,NA,NA,NA
"31","raca3=1,tipores3=1  encerra2=1",53,1.10079072219294,0.195571955719557,0.089678510998308,NA,NA,NA,NA,NA,NA,NA,NA
"32","raca3=1,cavitacao=1  encerra2=1",58,1.15764944275583,0.205673758865248,0.0981387478849408,NA,NA,NA,NA,NA,NA,NA,NA
"33","raca3=1,comdiab=0  encerra2=1",60,1.12571428571429,0.2,0.101522842639594,NA,NA,NA,NA,NA,NA,NA,NA
"34","raca3=1,fxet3=1  encerra2=1",64,1.12571428571429,0.2,0.1082910321489,NA,NA,NA,NA,NA,NA,NA,NA
"35","mumigual=0,hiv3=0  encerra2=1",58,1.1743062692703,0.20863309352518,0.0981387478849408,NA,NA,NA,NA,NA,NA,NA,NA
"36","mumigual=0,pdres5=1  encerra2=1",73,1.17395918367347,0.208571428571429,0.123519458544839,NA,NA,NA,NA,NA,NA,NA,NA
"37","pdres5=1,cavitacao=1  encerra2=1",89,1.11073804244536,0.197339246119734,0.150592216582064,NA,NA,NA,NA,NA,NA,NA,NA
"38","mumigual=0,cavitacao=0  encerra2=0",54,1.18599724999071,0.76056338028169,0.0913705583756345,NA,NA,NA,NA,NA,NA,NA,NA
"39","cavitacao=0,bilateral=1  encerra2=0",51,1.15257542732591,0.739130434782609,0.0862944162436548,NA,NA,NA,NA,NA,NA,NA,NA
"40","alcool=0,cavitacao=0  encerra2=0",83,1.19840222808561,0.768518518518518,0.140439932318105,NA,NA,NA,NA,NA,NA,NA,NA
"41","comtabagis=0,cavitacao=0  encerra2=0",80,1.19951288816724,0.769230769230769,0.135363790186125,NA,NA,NA,NA,NA,NA,NA,NA
"42","comdrogas=0,cavitacao=0  encerra2=0",86,1.17636439383419,0.754385964912281,0.145516074450085,NA,NA,NA,NA,NA,NA,NA,NA
"43","fxet3=1,cavitacao=0  encerra2=0",88,1.16291757971468,0.745762711864407,0.148900169204738,NA,NA,NA,NA,NA,NA,NA,NA
"44","ppl=0,cavitacao=0  encerra2=0",97,1.15464561219763,0.740458015267176,0.164128595600677,NA,NA,NA,NA,NA,NA,NA,NA
"45","sexo2=0,bilateral=0  encerra2=0",65,1.12620932277924,0.722222222222222,0.109983079526227,NA,NA,NA,NA,NA,NA,NA,NA
"46","escol4=0,mumigual=1  encerra2=0",58,1.17458794503649,0.753246753246753,0.0981387478849408,NA,NA,NA,NA,NA,NA,NA,NA
"47","mumigual=1,bilateral=0  encerra2=0",57,1.13953724375888,0.730769230769231,0.0964467005076142,NA,NA,NA,NA,NA,NA,NA,NA
"48","raca3=0,bilateral=0  encerra2=0",72,1.2203739818745,0.782608695652174,0.121827411167513,NA,NA,NA,NA,NA,NA,NA,NA
"49","sexo2=1,mumigual=1  encerra2=0",116,1.10296672887573,0.707317073170732,0.196277495769882,NA,NA,NA,NA,NA,NA,NA,NA
"50","mumigual=1,alcool=0  encerra2=0",127,1.13165473049378,0.725714285714286,0.214890016920474,NA,NA,NA,NA,NA,NA,NA,NA
"51","mumigual=1,hiv3=0  encerra2=0",128,1.10888302550572,0.711111111111111,0.2165820642978,NA,NA,NA,NA,NA,NA,NA,NA
"52","mumigual=1,comdrogas=0  encerra2=0",145,1.13054089709763,0.725,0.245346869712352,NA,NA,NA,NA,NA,NA,NA,NA
"53","raca3=0,alcool=0  encerra2=0",136,1.14634528988091,0.735135135135135,0.230118443316413,NA,NA,NA,NA,NA,NA,NA,NA
"54","raca3=0,comtabagis=0  encerra2=0",129,1.12378944885836,0.720670391061452,0.218274111675127,NA,NA,NA,NA,NA,NA,NA,NA
"55","raca3=0,comdrogas=0  encerra2=0",145,1.15952912522833,0.743589743589744,0.245346869712352,NA,NA,NA,NA,NA,NA,NA,NA
"56","alcool=0,comdrogas=0  encerra2=0",277,1.10471762411515,0.70843989769821,0.468697123519459,NA,NA,NA,NA,NA,NA,NA,NA
"57","sexo2=0,comtabagis=0,cavitacao=1  encerra2=2",18,1.75457694210787,0.13953488372093,0.0304568527918782,NA,NA,NA,NA,NA,NA,NA,NA
"58","sexo2=0,comtabagis=0,comdrogas=0  encerra2=2",20,1.54287951964495,0.122699386503067,0.0338409475465313,NA,NA,NA,NA,NA,NA,NA,NA
"59","sexo2=0,fxet3=1,cavitacao=1  encerra2=2",18,1.58280017854486,0.125874125874126,0.0304568527918782,NA,NA,NA,NA,NA,NA,NA,NA
"60","sexo2=0,comdiab=0,comdrogas=0  encerra2=2",18,1.58280017854486,0.125874125874126,0.0304568527918782,NA,NA,NA,NA,NA,NA,NA,NA
"61","escol4=0,alcool=0,comdrogas=0  encerra2=2",19,1.38904007916873,0.11046511627907,0.0321489001692047,NA,NA,NA,NA,NA,NA,NA,NA
"62","escol4=0,alcool=0,ppl=0  encerra2=2",19,1.31271919569792,0.104395604395604,0.0321489001692047,NA,NA,NA,NA,NA,NA,NA,NA
"63","escol4=0,alcool=0,pdres5=1  encerra2=2",19,1.31271919569792,0.104395604395604,0.0321489001692047,NA,NA,NA,NA,NA,NA,NA,NA
"64","escol4=0,comdrogas=0,pdres5=1  encerra2=2",19,1.2708239022182,0.101063829787234,0.0321489001692047,NA,NA,NA,NA,NA,NA,NA,NA
"65","escol4=0,comdiab=0,ppl=0  encerra2=2",18,1.25049958857412,0.0994475138121547,0.0304568527918782,NA,NA,NA,NA,NA,NA,NA,NA
"66","escol4=0,comdiab=0,pdres5=1  encerra2=2",18,1.25049958857412,0.0994475138121547,0.0304568527918782,NA,NA,NA,NA,NA,NA,NA,NA
"67","fxet3=1,mumigual=1,ppl=0  encerra2=2",20,1.26376563669411,0.100502512562814,0.0338409475465313,NA,NA,NA,NA,NA,NA,NA,NA
"68","raca3=0,fxet3=1,comdiab=0  encerra2=2",18,1.19126539753639,0.0947368421052632,0.0304568527918782,NA,NA,NA,NA,NA,NA,NA,NA
"69","raca3=0,comdiab=0,ppl=0  encerra2=2",19,1.23152007019083,0.0979381443298969,0.0321489001692047,NA,NA,NA,NA,NA,NA,NA,NA
"70","raca3=0,fxet3=1,ppl=0  encerra2=2",19,1.14862929623568,0.0913461538461538,0.0321489001692047,NA,NA,NA,NA,NA,NA,NA,NA
"71","raca3=1,alcool=0,comdrogas=0  encerra2=2",21,1.1431334622824,0.0909090909090909,0.0355329949238579,NA,NA,NA,NA,NA,NA,NA,NA
"72","raca3=1,fxet3=1,alcool=0  encerra2=2",21,1.1431334622824,0.0909090909090909,0.0355329949238579,NA,NA,NA,NA,NA,NA,NA,NA
"73","raca3=1,alcool=0,ppl=0  encerra2=2",22,1.1431334622824,0.0909090909090909,0.0372250423011844,NA,NA,NA,NA,NA,NA,NA,NA
"74","raca3=1,fxet3=1,comdrogas=0  encerra2=2",24,1.13028926607698,0.0898876404494382,0.0406091370558376,NA,NA,NA,NA,NA,NA,NA,NA
"75","mumigual=0,bilateral=1,tipores3=1  encerra2=2",18,1.50893617021277,0.12,0.0304568527918782,NA,NA,NA,NA,NA,NA,NA,NA
"76","mumigual=0,comdrogas=0,bilateral=1  encerra2=2",18,1.38012454592631,0.109756097560976,0.0304568527918782,NA,NA,NA,NA,NA,NA,NA,NA
