"","ID","LHSandRHS","Desfechos","count","lift","confidence","support","count.x","lift.x","confidence.x","support.x","count.y","lift.y","confidence.y","support.y","count.x.12","lift.x.12","confidence.x.12","support.x.12","count.y.12","lift.y.12","confidence.y.12","support.y.12","count.x.11","lift.x.11","confidence.x.11","support.x.11","count.y.11","lift.y.11","confidence.y.11","support.y.11","count.x.10","lift.x.10","confidence.x.10","support.x.10","count.y.10","lift.y.10","confidence.y.10","support.y.10","count.x.9","lift.x.9","confidence.x.9","support.x.9","count.y.9","lift.y.9","confidence.y.9","support.y.9","count.x.8","lift.x.8","confidence.x.8","support.x.8","count.y.8","lift.y.8","confidence.y.8","support.y.8","count.x.7","lift.x.7","confidence.x.7","support.x.7","count.y.7","lift.y.7","confidence.y.7","support.y.7","count.x.6","lift.x.6","confidence.x.6","support.x.6","count.y.6","lift.y.6","confidence.y.6","support.y.6","count.x.5","lift.x.5","confidence.x.5","support.x.5","count.y.5","lift.y.5","confidence.y.5","support.y.5","count.x.4","lift.x.4","confidence.x.4","support.x.4","count.y.4","lift.y.4","confidence.y.4","support.y.4","count.x.3","lift.x.3","confidence.x.3","support.x.3","count.y.3","lift.y.3","confidence.y.3","support.y.3","count.x.2","lift.x.2","confidence.x.2","support.x.2","count.y.2","lift.y.2","confidence.y.2","support.y.2","count.x.1","lift.x.1","confidence.x.1","support.x.1","count.y.1","lift.y.1","confidence.y.1","support.y.1"
"3",3,"alcool=1,bilateral=1","encerra2=1",26,1.58477722772277,0.270833333333333,0.0439932318104907,26,1.60145909327775,0.257425742574257,0.0439932318104907,24,1.63995837669095,0.258064516129032,0.0406091370558376,27,1.73163320672816,0.278350515463918,0.0456852791878173,27,1.58178033306899,0.259615384615385,0.0456852791878173,20,1.46214745175656,0.212765957446809,0.0338409475465313,31,1.74419268849962,0.306930693069307,0.0524534686971235,31,1.74419268849962,0.306930693069307,0.0524534686971235,25,1.63875332741792,0.255102040816327,0.0423011844331641,28,1.74299557615336,0.297872340425532,0.0473773265651438,24,1.57233122713668,0.247422680412371,0.0406091370558376,26,1.73921901528014,0.273684210526316,0.0439932318104907,25,1.46461141950833,0.240384615384615,0.0423011844331641,25,1.50888480392157,0.260416666666667,0.0423011844331641,22,1.58793356130923,0.247191011235955,0.0372250423011844,22,1.55675287356322,0.229166666666667,0.0372250423011844,26,1.76175189176794,0.26530612244898,0.0439932318104907,22,1.50399074609601,0.231578947368421,0.0372250423011844,28,1.76549663928305,0.307692307692308,0.0473773265651438,26,1.50632290951867,0.257425742574257,0.0439932318104907,26,1.67021739130435,0.26,0.0439932318104907,26,1.7421768707483,0.26530612244898,0.0439932318104907,22,1.47565543071161,0.247191011235955,0.0372250423011844,28,1.68857142857143,0.285714285714286,0.0473773265651438,32,1.8628841607565,0.296296296296296,0.0541455160744501,25,1.49242424242424,0.25,0.0423011844331641,21,1.3757898237446,0.216494845360825,0.0355329949238579
"6",6,"comdiab=0,comtabagis=0,bilateral=0,tipores3=1","encerra2=1",25,1.50811472899867,0.257731958762887,0.0423011844331641,24,1.47826993225638,0.237623762376238,0.0406091370558376,26,1.47523041474654,0.232142857142857,0.0439932318104907,24,1.39537629119528,0.224299065420561,0.0406091370558376,23,1.24012407627041,0.20353982300885,0.038917089678511,24,1.43417593528817,0.208695652173913,0.0406091370558376,24,1.26282051282051,0.222222222222222,0.0406091370558376,25,1.23536789297659,0.217391304347826,0.0423011844331641,21,1.22638339920949,0.190909090909091,0.0355329949238579,25,1.30613507779349,0.223214285714286,0.0423011844331641,20,1.27096774193548,0.2,0.0338409475465313,20,1.18782031956587,0.186915887850467,0.0338409475465313,26,1.48048944985066,0.242990654205607,0.0439932318104907,26,1.34506302521008,0.232142857142857,0.0439932318104907,20,1.28478260869565,0.2,0.0338409475465313,25,1.6329575596817,0.240384615384615,0.0423011844331641,19,1.23694646397885,0.186274509803922,0.0321489001692047,24,1.42998286117552,0.220183486238532,0.0406091370558376,24,1.27508090614887,0.222222222222222,0.0406091370558376,20,1.13621070844949,0.194174757281553,0.0338409475465313,21,1.28478260869565,0.2,0.0355329949238579,18,1.14757281553398,0.174757281553398,0.0304568527918782,26,1.4239644147901,0.238532110091743,0.0439932318104907,22,1.182,0.2,0.0372250423011844,22,1.32999181669394,0.211538461538462,0.0372250423011844,25,1.40794739851344,0.235849056603774,0.0423011844331641,24,1.4388314059647,0.226415094339623,0.0406091370558376
"18",18,"escol4=1,alcool=0,bilateral=0","encerra2=1",28,1.59069499182928,0.271844660194175,0.0473773265651438,25,1.55526315789474,0.25,0.0423011844331641,28,1.67863664029215,0.264150943396226,0.0473773265651438,27,1.61508097165992,0.259615384615385,0.0456852791878173,23,1.36052447202482,0.223300970873786,0.038917089678511,21,1.36145239139974,0.19811320754717,0.0355329949238579,27,1.50424208144796,0.264705882352941,0.0456852791878173,24,1.37762237762238,0.242424242424242,0.0406091370558376,24,1.52647438656909,0.237623762376238,0.0406091370558376,25,1.31790206047632,0.225225225225225,0.0423011844331641,25,1.6211323238973,0.255102040816327,0.0423011844331641,22,1.39806451612903,0.22,0.0372250423011844,27,1.53743135176799,0.252336448598131,0.0456852791878173,30,1.63984461709212,0.283018867924528,0.050761421319797,19,1.27139945652174,0.197916666666667,0.0321489001692047,29,1.93137254901961,0.284313725490196,0.0490693739424704,23,1.54273067756214,0.232323232323232,0.038917089678511,22,1.2989010989011,0.2,0.0372250423011844,26,1.34400419837313,0.234234234234234,0.0439932318104907,26,1.60145909327775,0.273684210526316,0.0439932318104907,24,1.51150895140665,0.235294117647059,0.0406091370558376,20,1.41218637992832,0.21505376344086,0.0338409475465313,27,1.50637213254036,0.252336448598131,0.0456852791878173,25,1.50765306122449,0.255102040816327,0.0423011844331641,21,1.4045948392938,0.223404255319149,0.0355329949238579,26,1.66894753991528,0.279569892473118,0.0439932318104907,26,1.66894753991528,0.262626262626263,0.0439932318104907
"19",19,"escol4=1,alcool=0,comdiab=0,bilateral=0","encerra2=1",27,1.90349516879399,0.325301204819277,0.0456852791878173,24,1.93902939166097,0.311688311688312,0.0406091370558376,28,1.95533498759305,0.307692307692308,0.0473773265651438,26,1.92556390977444,0.30952380952381,0.0439932318104907,23,1.70895147095801,0.280487804878049,0.038917089678511,21,1.63993128964059,0.238636363636364,0.0355329949238579,25,1.65194543828265,0.290697674418605,0.0423011844331641,23,1.6544547224927,0.291139240506329,0.038917089678511,22,1.7027239392352,0.265060240963855,0.0372250423011844,24,1.54324883037754,0.263736263736264,0.0406091370558376,23,1.82701612903226,0.2875,0.038917089678511,21,1.66814516129032,0.2625,0.0355329949238579,25,1.75079985780306,0.28735632183908,0.0423011844331641,28,1.95464209780298,0.337349397590361,0.0473773265651438,18,1.54173913043478,0.24,0.0304568527918782,27,2.20980473618612,0.325301204819277,0.0456852791878173,22,1.84923908405632,0.278481012658228,0.0372250423011844,21,1.54982517482517,0.238636363636364,0.0355329949238579,24,1.49683410721824,0.260869565217391,0.0406091370558376,24,1.77766637423236,0.30379746835443,0.0406091370558376,24,1.92717391304348,0.3,0.0406091370558376,19,1.70913242009132,0.26027397260274,0.0321489001692047,25,1.79810149689668,0.301204819277108,0.0423011844331641,24,1.81846153846154,0.307692307692308,0.0406091370558376,21,1.65039893617021,0.2625,0.0355329949238579,24,1.93611793611794,0.324324324324324,0.0406091370558376,26,2.03982477100757,0.320987654320988,0.0439932318104907
"21",21,"escol4=1,comdiab=0","encerra2=1",72,1.31658415841584,0.225,0.121827411167513,69,1.32485380116959,0.212962962962963,0.116751269035533,71,1.3797967840584,0.217125382262997,0.120135363790186,63,1.22095425479587,0.196261682242991,0.106598984771574,68,1.22576709571158,0.201183431952663,0.115059221658206,57,1.25547853309481,0.182692307692308,0.0964467005076142,69,1.17046498277842,0.205970149253731,0.116751269035533,76,1.33297720797721,0.234567901234568,0.128595600676819,63,1.23011100832562,0.191489361702128,0.106598984771574,68,1.24344059405941,0.2125,0.115059221658206,63,1.25110887096774,0.196875,0.106598984771574,63,1.24333800841515,0.195652173913043,0.106598984771574,67,1.25992745322642,0.20679012345679,0.11336717428088,70,1.27543470218276,0.220125786163522,0.11844331641286,61,1.19469114528102,0.185975609756098,0.10321489001692,63,1.35432125709297,0.199367088607595,0.106598984771574,61,1.26189226084217,0.190031152647975,0.10321489001692,59,1.18998703160194,0.183229813664596,0.0998307952622673,73,1.23558724976373,0.215339233038348,0.123519458544839,65,1.19983133960084,0.205047318611987,0.109983079526227,65,1.28874798711755,0.200617283950617,0.109983079526227,63,1.28478260869565,0.195652173913043,0.106598984771574,68,1.27653897465218,0.213836477987421,0.115059221658206,69,1.26250773993808,0.213622291021672,0.116751269035533,61,1.16927218474312,0.185975609756098,0.10321489001692,67,1.24214191605496,0.208074534161491,0.11336717428088,66,1.28262799644865,0.201834862385321,0.111675126903553
"22",22,"escol4=1,comdiab=0,comtabagis=0,bilateral=0","encerra2=1",26,1.8553489495291,0.317073170731707,0.0439932318104907,24,1.86631578947368,0.3,0.0406091370558376,26,1.85646973541138,0.292134831460674,0.0439932318104907,26,1.79719298245614,0.288888888888889,0.0439932318104907,24,1.66166822867854,0.272727272727273,0.0406091370558376,21,1.55176294073518,0.225806451612903,0.0355329949238579,24,1.49873203719358,0.263736263736264,0.0406091370558376,24,1.5324114088159,0.269662921348315,0.0406091370558376,22,1.57028985507246,0.244444444444444,0.0372250423011844,25,1.55624605013693,0.265957446808511,0.0423011844331641,20,1.56909597769813,0.246913580246914,0.0338409475465313,22,1.62565641410353,0.255813953488372,0.0372250423011844,25,1.69243986254296,0.277777777777778,0.0423011844331641,27,1.7191338073691,0.296703296703297,0.0456852791878173,18,1.42753623188406,0.222222222222222,0.0304568527918782,25,1.90817512592019,0.280898876404494,0.0423011844331641,20,1.58105939004815,0.238095238095238,0.0338409475465313,21,1.5324114088159,0.235955056179775,0.0355329949238579,24,1.4649865730221,0.25531914893617,0.0406091370558376,22,1.58929226255959,0.271604938271605,0.0372250423011844,23,1.67897727272727,0.261363636363636,0.038917089678511,20,1.56349206349206,0.238095238095238,0.0338409475465313,25,1.79810149689668,0.301204819277108,0.0423011844331641,23,1.58058139534884,0.267441860465116,0.038917089678511,20,1.49696048632219,0.238095238095238,0.0338409475465313,23,1.73801304181051,0.291139240506329,0.038917089678511,27,1.92787241754259,0.303370786516854,0.0456852791878173
"23",23,"escol4=1,mumigual=0","encerra2=1",50,1.42026338556186,0.242718446601942,0.0846023688663283,48,1.37608537472714,0.221198156682028,0.0812182741116751,42,1.28318858560794,0.201923076923077,0.0710659898477157,42,1.26224256292906,0.202898550724638,0.0710659898477157,44,1.23540310703596,0.202764976958525,0.0744500846023689,45,1.49393326592518,0.217391304347826,0.0761421319796954,52,1.34931506849315,0.237442922374429,0.0879864636209814,50,1.34660955158585,0.23696682464455,0.0846023688663283,37,1.19439589250601,0.185929648241206,0.0626057529610829,44,1.21445918176723,0.207547169811321,0.0744500846023689,46,1.32873900293255,0.209090909090909,0.077834179357022,40,1.28380579993483,0.202020202020202,0.0676818950930626,47,1.40372953305033,0.230392156862745,0.0795262267343486,49,1.3392064372919,0.231132075471698,0.0829103214890017,41,1.20816713203032,0.188073394495413,0.0693739424703892,42,1.35862068965517,0.2,0.0710659898477157,38,1.2016051364366,0.180952380952381,0.0642978003384095,41,1.26196552262903,0.194312796208531,0.0693739424703892,50,1.33438699480695,0.232558139534884,0.0846023688663283,48,1.37010383965226,0.234146341463415,0.0812182741116751,42,1.34231018818949,0.208955223880597,0.0710659898477157,45,1.38732394366197,0.211267605633803,0.0761421319796954,45,1.34318181818182,0.225,0.0761421319796954,50,1.5,0.253807106598985,0.0846023688663283,43,1.25744680851064,0.2,0.0727580372250423,47,1.32974292689933,0.222748815165877,0.0795262267343486,38,1.18374446552815,0.186274509803922,0.0642978003384095
"30",30,"fxet3=1,alcool=1","encerra2=1",34,1.51870606908019,0.259541984732824,0.0575296108291032,35,1.60100619195046,0.257352941176471,0.0592216582064298,29,1.47432258064516,0.232,0.0490693739424704,32,1.49679461812426,0.240601503759398,0.0541455160744501,32,1.38275937705637,0.226950354609929,0.0541455160744501,26,1.41805094130676,0.206349206349206,0.0439932318104907,37,1.51265910348644,0.266187050359712,0.0626057529610829,40,1.61211129296236,0.283687943262411,0.0676818950930626,33,1.49288120024495,0.232394366197183,0.0558375634517767,35,1.63841584158416,0.28,0.0592216582064298,33,1.51963534361851,0.239130434782609,0.0558375634517767,30,1.46650124069479,0.230769230769231,0.050761421319797,32,1.39263622974963,0.228571428571429,0.0541455160744501,34,1.41726618705036,0.244604316546763,0.0575296108291032,28,1.45056100981767,0.225806451612903,0.0473773265651438,31,1.54842799188641,0.227941176470588,0.0524534686971235,32,1.66011235955056,0.25,0.0541455160744501,30,1.51035011500128,0.232558139534884,0.050761421319797,36,1.55310606613621,0.270676691729323,0.0609137055837563,33,1.46287128712871,0.25,0.0558375634517767,34,1.56009316770186,0.242857142857143,0.0575296108291032,34,1.5947619047619,0.242857142857143,0.0575296108291032,30,1.4560236511456,0.24390243902439,0.050761421319797,38,1.52775510204082,0.258503401360544,0.0642978003384095,40,1.72252987467211,0.273972602739726,0.0676818950930626,33,1.36805555555556,0.229166666666667,0.0558375634517767,29,1.35507590132827,0.213235294117647,0.0490693739424704
"31",31,"fxet3=1,alcool=1,comdiab=0,bilateral=1","encerra2=1",24,1.63297259958554,0.27906976744186,0.0406091370558376,25,1.76734449760766,0.284090909090909,0.0423011844331641,24,1.75305895439377,0.275862068965517,0.0406091370558376,25,1.80844553243574,0.290697674418605,0.0423011844331641,25,1.63784502826738,0.268817204301075,0.0423011844331641,19,1.57312972821519,0.228915662650602,0.0321489001692047,29,1.81096787827557,0.318681318681319,0.0490693739424704,29,1.85166378565255,0.325842696629214,0.0490693739424704,25,1.78442028985507,0.277777777777778,0.0423011844331641,28,1.90513469951646,0.325581395348837,0.0473773265651438,23,1.68001483129403,0.264367816091954,0.038917089678511,25,1.84733683420855,0.290697674418605,0.0423011844331641,24,1.57233122713668,0.258064516129032,0.0406091370558376,23,1.54958960328317,0.267441860465116,0.038917089678511,21,1.66545893719807,0.259259259259259,0.0355329949238579,21,1.65878107457899,0.244186046511628,0.0355329949238579,25,1.90817512592019,0.28735632183908,0.0423011844331641,20,1.54631083202512,0.238095238095238,0.0338409475465313,28,1.95927066066777,0.341463414634146,0.0473773265651438,25,1.62541254125413,0.277777777777778,0.0423011844331641,25,1.76481127568084,0.274725274725275,0.0423011844331641,24,1.81149425287356,0.275862068965517,0.0406091370558376,22,1.66244725738397,0.278481012658228,0.0372250423011844,27,1.81329545454545,0.306818181818182,0.0456852791878173,30,1.92466348241424,0.306122448979592,0.050761421319797,24,1.55731225296443,0.260869565217391,0.0406091370558376,21,1.51649560117302,0.238636363636364,0.0355329949238579
"51",51,"fxet3=1,escol4=1","encerra2=1",74,1.30818701205468,0.223564954682779,0.125211505922166,71,1.31456766917293,0.211309523809524,0.120135363790186,69,1.32073455110766,0.207831325301205,0.116751269035533,65,1.19282720074523,0.191740412979351,0.109983079526227,70,1.21163308341143,0.198863636363636,0.11844331641286,61,1.29381998277347,0.188271604938272,0.10321489001692,73,1.21652943830363,0.214076246334311,0.123519458544839,76,1.27024886877828,0.223529411764706,0.128595600676819,62,1.1853649068323,0.18452380952381,0.104906937394247,72,1.26899677919599,0.216867469879518,0.121827411167513,67,1.3020617539706,0.204892966360856,0.11336717428088,62,1.22360248447205,0.192546583850932,0.104906937394247,68,1.23674411447915,0.202985074626866,0.115059221658206,71,1.24284698773769,0.214501510574018,0.120135363790186,62,1.17141943734015,0.182352941176471,0.104906937394247,62,1.26099525087756,0.18562874251497,0.104906937394247,65,1.29230303438068,0.194610778443114,0.109983079526227,62,1.21282933933536,0.186746987951807,0.104906937394247,74,1.23790653570721,0.215743440233236,0.125211505922166,68,1.23571736055593,0.211180124223602,0.115059221658206,66,1.24333800841515,0.193548387096774,0.111675126903553,64,1.25828343313373,0.191616766467066,0.1082910321489,71,1.31222441129562,0.219814241486068,0.120135363790186,74,1.29008849557522,0.218289085545723,0.125211505922166,63,1.18947671075331,0.189189189189189,0.106598984771574,70,1.22186780081517,0.204678362573099,0.11844331641286,66,1.26712796023779,0.199395770392749,0.111675126903553
