"","Regras","count","lift","confidence","support","Desfechos","LHSandRHS"
"110","comtabagis=1,bilateral=1 ",18,1.54173913043478,0.18,0.0304568527918782,"encerra2=3","comtabagis=1,bilateral=1  encerra2=3"
"111","escol4=1,comtabagis=1 ",21,1.51150895140665,0.176470588235294,0.0355329949238579,"encerra2=3","escol4=1,comtabagis=1  encerra2=3"
"112","sexo2=1,comtabagis=1 ",19,1.41512287334594,0.165217391304348,0.0321489001692047,"encerra2=3","sexo2=1,comtabagis=1  encerra2=3"
"113","comtabagis=1,tipores3=1 ",20,1.4767616191904,0.172413793103448,0.0338409475465313,"encerra2=3","comtabagis=1,tipores3=1  encerra2=3"
"114","comtabagis=1,cavitacao=1 ",21,1.51150895140665,0.176470588235294,0.0355329949238579,"encerra2=3","comtabagis=1,cavitacao=1  encerra2=3"
"115","hiv3=0,comtabagis=1 ",19,1.37914517317612,0.161016949152542,0.0321489001692047,"encerra2=3","hiv3=0,comtabagis=1  encerra2=3"
"116","comtabagis=1,ppl=0 ",22,1.34596273291925,0.157142857142857,0.0372250423011844,"encerra2=3","comtabagis=1,ppl=0  encerra2=3"
"117","alcool=1,bilateral=1 ",19,1.6606033717835,0.193877551020408,0.0321489001692047,"encerra2=3","alcool=1,bilateral=1  encerra2=3"
"118","escol4=1,alcool=1 ",22,1.48373844573776,0.173228346456693,0.0372250423011844,"encerra2=3","escol4=1,alcool=1  encerra2=3"
"119","alcool=1,tipores3=1 ",18,1.26372059871704,0.147540983606557,0.0304568527918782,"encerra2=3","alcool=1,tipores3=1  encerra2=3"
"120","sexo2=0,bilateral=1 ",18,1.38895417156287,0.162162162162162,0.0304568527918782,"encerra2=3","sexo2=0,bilateral=1  encerra2=3"
"121","sexo2=0,escol4=1 ",18,1.44087769199512,0.168224299065421,0.0304568527918782,"encerra2=3","sexo2=0,escol4=1  encerra2=3"
"122","sexo2=0,tipores3=1 ",20,1.21492445266728,0.141843971631206,0.0338409475465313,"encerra2=3","sexo2=0,tipores3=1  encerra2=3"
"123","sexo2=0,comtabagis=0 ",19,1.01711956521739,0.11875,0.0321489001692047,"encerra2=3","sexo2=0,comtabagis=0  encerra2=3"
"124","raca3=0,bilateral=1 ",21,1.23198332340679,0.143835616438356,0.0355329949238579,"encerra2=3","raca3=0,bilateral=1  encerra2=3"
"125","raca3=0,escol4=1 ",20,1.35955831608006,0.158730158730159,0.0338409475465313,"encerra2=3","raca3=0,escol4=1  encerra2=3"
"126","sexo2=1,raca3=0 ",19,1.00456253354804,0.117283950617284,0.0321489001692047,"encerra2=3","sexo2=1,raca3=0  encerra2=3"
"127","mumigual=1,comdrogas=0 ",25,1.05482972799315,0.123152709359606,0.0423011844331641,"encerra2=3","mumigual=1,comdrogas=0  encerra2=3"
"128","raca3=1,mumigual=0 ",27,1.0908531583265,0.127358490566038,0.0456852791878173,"encerra2=3","raca3=1,mumigual=0  encerra2=3"
"129","mumigual=0,bilateral=1 ",29,1.24195652173913,0.145,0.0490693739424704,"encerra2=3","mumigual=0,bilateral=1  encerra2=3"
"130","escol4=1,mumigual=0 ",32,1.28679322310676,0.150234741784038,0.0541455160744501,"encerra2=3","escol4=1,mumigual=0  encerra2=3"
"131","sexo2=1,mumigual=0 ",31,1.1696992913235,0.136563876651982,0.0524534686971235,"encerra2=3","sexo2=1,mumigual=0  encerra2=3"
"132","mumigual=0,tipores3=1 ",34,1.19842547861872,0.139917695473251,0.0575296108291032,"encerra2=3","mumigual=0,tipores3=1  encerra2=3"
"133","mumigual=0,cavitacao=1 ",32,1.0461334218387,0.122137404580153,0.0541455160744501,"encerra2=3","mumigual=0,cavitacao=1  encerra2=3"
"134","mumigual=0,ppl=0 ",41,1.05141890132778,0.122754491017964,0.0693739424703892,"encerra2=3","mumigual=0,ppl=0  encerra2=3"
"135","raca3=1,tipores3=1 ",38,1.19222806179328,0.139194139194139,0.0642978003384095,"encerra2=3","raca3=1,tipores3=1  encerra2=3"
"136","raca3=1,ppl=0 ",45,1.13030728037741,0.131964809384164,0.0761421319796954,"encerra2=3","raca3=1,ppl=0  encerra2=3"
"137","escol4=1,bilateral=1 ",45,1.56680805938494,0.182926829268293,0.0761421319796954,"encerra2=3","escol4=1,bilateral=1  encerra2=3"
"138","bilateral=1,tipores3=1 ",43,1.27440950804874,0.14878892733564,0.0727580372250423,"encerra2=3","bilateral=1,tipores3=1  encerra2=3"
"139","cavitacao=1,bilateral=1 ",43,1.22360248447205,0.142857142857143,0.0727580372250423,"encerra2=3","cavitacao=1,bilateral=1  encerra2=3"
"140","comdrogas=0,bilateral=1 ",43,1.24008197921241,0.144781144781145,0.0727580372250423,"encerra2=3","comdrogas=0,bilateral=1  encerra2=3"
"141","ppl=0,bilateral=1 ",51,1.22360248447205,0.142857142857143,0.0862944162436548,"encerra2=3","ppl=0,bilateral=1  encerra2=3"
"142","escol4=1,tipores3=1 ",47,1.34637196451941,0.157190635451505,0.0795262267343486,"encerra2=3","escol4=1,tipores3=1  encerra2=3"
"143","escol4=1,comdrogas=0 ",45,1.28051422793587,0.149501661129568,0.0761421319796954,"encerra2=3","escol4=1,comdrogas=0  encerra2=3"
"144","escol4=1,ppl=0 ",55,1.30495001806576,0.152354570637119,0.0930626057529611,"encerra2=3","escol4=1,ppl=0  encerra2=3"
"145","sexo2=1,cavitacao=1 ",39,1.05709961474959,0.123417721518987,0.065989847715736,"encerra2=3","sexo2=1,cavitacao=1  encerra2=3"
"146","sexo2=1,hiv3=0 ",38,1.02030802780428,0.119122257053292,0.0642978003384095,"encerra2=3","sexo2=1,hiv3=0  encerra2=3"
"147","sexo2=1,ppl=0 ",46,1.04509283819629,0.122015915119363,0.077834179357022,"encerra2=3","sexo2=1,ppl=0  encerra2=3"
"148","cavitacao=1,tipores3=1 ",46,1.12893982808023,0.131805157593123,0.077834179357022,"encerra2=3","cavitacao=1,tipores3=1  encerra2=3"
"149","ppl=0,tipores3=1 ",57,1.14874680306905,0.134117647058824,0.0964467005076142,"encerra2=3","ppl=0,tipores3=1  encerra2=3"
"150","hiv3=0,cavitacao=1 ",44,1.02689254827627,0.119891008174387,0.0744500846023689,"encerra2=3","hiv3=0,cavitacao=1  encerra2=3"
"151","mumigual=0,hiv3=2 ",24,1.02604166666667,0.666666666666667,0.0406091370558376,"encerra2=0","mumigual=0,hiv3=2  encerra2=0"
"152","sexo2=1,hiv3=2 ",30,1.02604166666667,0.666666666666667,0.050761421319797,"encerra2=0","sexo2=1,hiv3=2  encerra2=0"
"153","mumigual=0,comdrogas=1 ",20,2.08465608465608,0.317460317460317,0.0338409475465313,"encerra2=1","mumigual=0,comdrogas=1  encerra2=1"
"154","raca3=1,comdrogas=1 ",19,2.26848484848485,0.345454545454545,0.0321489001692047,"encerra2=1","raca3=1,comdrogas=1  encerra2=1"
"155","escol4=1,comdrogas=1 ",27,2.13614457831325,0.325301204819277,0.0456852791878173,"encerra2=1","escol4=1,comdrogas=1  encerra2=1"
"156","comtabagis=0,comdrogas=1 ",23,2.74606060606061,0.418181818181818,0.038917089678511,"encerra2=1","comtabagis=0,comdrogas=1  encerra2=1"
"157","comdrogas=1,cavitacao=1 ",29,2.24039215686275,0.341176470588235,0.0490693739424704,"encerra2=1","comdrogas=1,cavitacao=1  encerra2=1"
