"","Regras","count","lift","confidence","support","Desfechos","LHSandRHS"
"110","comtabagis=0,ppl=0 ",45,1.1453488372093,0.104651162790698,0.0761421319796954,"encerra2=2","comtabagis=0,ppl=0  encerra2=2"
"111","comdrogas=0,tipores3=1 ",38,1.13321223130487,0.103542234332425,0.0642978003384095,"encerra2=2","comdrogas=0,tipores3=1  encerra2=2"
"112","fxet3=1,tipores3=1 ",39,1.05390946502058,0.0962962962962963,0.065989847715736,"encerra2=2","fxet3=1,tipores3=1  encerra2=2"
"113","ppl=0,tipores3=1 ",43,1.08435739887353,0.0990783410138249,0.0727580372250423,"encerra2=2","ppl=0,tipores3=1  encerra2=2"
"114","hiv3=0,comdiab=0 ",37,1.03039298840826,0.094147582697201,0.0626057529610829,"encerra2=2","hiv3=0,comdiab=0  encerra2=2"
"115","comdiab=0,comdrogas=0 ",40,1.07827038861522,0.0985221674876847,0.0676818950930626,"encerra2=2","comdiab=0,comdrogas=0  encerra2=2"
"116","fxet3=1,comdrogas=0 ",43,1.07938328236493,0.0986238532110092,0.0727580372250423,"encerra2=2","fxet3=1,comdrogas=0  encerra2=2"
"117","comdrogas=0,ppl=0 ",48,1.09902370990237,0.100418410041841,0.0812182741116751,"encerra2=2","comdrogas=0,ppl=0  encerra2=2"
"118","fxet3=1,ppl=0 ",49,1.04537578514187,0.0955165692007797,0.0829103214890017,"encerra2=2","fxet3=1,ppl=0  encerra2=2"
"119","fxet3=2,mumigual=1 ",21,1.07046748318096,0.67741935483871,0.0355329949238579,"encerra2=0","fxet3=2,mumigual=1  encerra2=0"
"120","raca3=1,fxet3=2 ",22,1.02249134948097,0.647058823529412,0.0372250423011844,"encerra2=0","raca3=1,fxet3=2  encerra2=0"
"121","fxet3=2,escol4=1 ",27,1.04062866831877,0.658536585365854,0.0456852791878173,"encerra2=0","fxet3=2,escol4=1  encerra2=0"
"122","fxet3=2,comtabagis=0 ",26,1.02713903743316,0.65,0.0439932318104907,"encerra2=0","fxet3=2,comtabagis=0  encerra2=0"
"123","comtabagis=1,ppl=0 ",19,1.30100799443865,0.138686131386861,0.0321489001692047,"encerra2=3","comtabagis=1,ppl=0  encerra2=3"
"124","sexo2=0,raca3=1 ",18,1.40714285714286,0.15,0.0304568527918782,"encerra2=3","sexo2=0,raca3=1  encerra2=3"
"125","sexo2=0,tipores3=1 ",19,1.31057422969188,0.139705882352941,0.0321489001692047,"encerra2=3","sexo2=0,tipores3=1  encerra2=3"
"126","sexo2=0,comdrogas=0 ",20,1.05999461931665,0.112994350282486,0.0338409475465313,"encerra2=3","sexo2=0,comdrogas=0  encerra2=3"
"127","sexo2=0,comdiab=0 ",18,1.16453201970443,0.124137931034483,0.0304568527918782,"encerra2=3","sexo2=0,comdiab=0  encerra2=3"
"128","raca3=1,mumigual=1 ",19,1.23776455026455,0.131944444444444,0.0321489001692047,"encerra2=3","raca3=1,mumigual=1  encerra2=3"
"129","mumigual=0,bilateral=1 ",25,1.22147817460317,0.130208333333333,0.0423011844331641,"encerra2=3","mumigual=0,bilateral=1  encerra2=3"
"130","escol4=1,mumigual=0 ",25,1.19047619047619,0.126903553299492,0.0423011844331641,"encerra2=3","escol4=1,mumigual=0  encerra2=3"
"131","sexo2=1,mumigual=0 ",28,1.19939117199391,0.127853881278539,0.0473773265651438,"encerra2=3","sexo2=1,mumigual=0  encerra2=3"
"132","mumigual=0,tipores3=1 ",30,1.17261904761905,0.125,0.050761421319797,"encerra2=3","mumigual=0,tipores3=1  encerra2=3"
"133","mumigual=0,ppl=0 ",38,1.09348524685948,0.116564417177914,0.0642978003384095,"encerra2=3","mumigual=0,ppl=0  encerra2=3"
"134","raca3=1,bilateral=1 ",29,1.22543972543973,0.130630630630631,0.0490693739424704,"encerra2=3","raca3=1,bilateral=1  encerra2=3"
"135","raca3=1,escol4=1 ",36,1.34547524188958,0.143426294820717,0.0609137055837563,"encerra2=3","raca3=1,escol4=1  encerra2=3"
"136","raca3=1,alcool=0 ",34,1.25079365079365,0.133333333333333,0.0575296108291032,"encerra2=3","raca3=1,alcool=0  encerra2=3"
