"","Regras","count","lift","confidence","support","Desfechos","LHSandRHS"
"110","pdres5=1,cavitacao=1 ",37,1.03341209829868,0.0804347826086956,0.0626057529610829,"encerra2=2","pdres5=1,cavitacao=1  encerra2=2"
"111","hiv3=0,comdrogas=0 ",34,1.09755298230282,0.085427135678392,0.0575296108291032,"encerra2=2","hiv3=0,comdrogas=0  encerra2=2"
"112","hiv3=0,comdiab=0 ",33,1.0679553170518,0.0831234256926952,0.0558375634517767,"encerra2=2","hiv3=0,comdiab=0  encerra2=2"
"113","hiv3=0,ppl=0 ",38,1.07065217391304,0.0833333333333333,0.0642978003384095,"encerra2=2","hiv3=0,ppl=0  encerra2=2"
"114","hiv3=0,pdres5=1 ",38,1.04992987377279,0.0817204301075269,0.0642978003384095,"encerra2=2","hiv3=0,pdres5=1  encerra2=2"
"115","comdiab=0,comdrogas=0 ",34,1.06283719454142,0.0827250608272506,0.0575296108291032,"encerra2=2","comdiab=0,comdrogas=0  encerra2=2"
"116","comdrogas=0,ppl=0 ",41,1.08164449602714,0.0841889117043121,0.0693739424703892,"encerra2=2","comdrogas=0,ppl=0  encerra2=2"
"117","comdrogas=0,pdres5=1 ",41,1.07283272823873,0.0835030549898167,0.0693739424703892,"encerra2=2","comdrogas=0,pdres5=1  encerra2=2"
"118","ppl=0,pdres5=1 ",46,1.04049295774648,0.0809859154929577,0.077834179357022,"encerra2=2","ppl=0,pdres5=1  encerra2=2"
"119","fxet3=2,escol4=1 ",29,1.00912623645784,0.659090909090909,0.0490693739424704,"encerra2=0","fxet3=2,escol4=1  encerra2=0"
"120","fxet3=2,comtabagis=0 ",29,1.03259428846849,0.674418604651163,0.0490693739424704,"encerra2=0","fxet3=2,comtabagis=0  encerra2=0"
"121","comtabagis=1,ppl=0 ",19,1.26012793176972,0.142857142857143,0.0321489001692047,"encerra2=3","comtabagis=1,ppl=0  encerra2=3"
"122","alcool=1,bilateral=1 ",18,1.58776119402985,0.18,0.0304568527918782,"encerra2=3","alcool=1,bilateral=1  encerra2=3"
"123","escol4=1,alcool=1 ",19,1.34077611940299,0.152,0.0321489001692047,"encerra2=3","escol4=1,alcool=1  encerra2=3"
"124","sexo2=0,raca3=1 ",24,1.65391791044776,0.1875,0.0406091370558376,"encerra2=3","sexo2=0,raca3=1  encerra2=3"
"125","sexo2=0,bilateral=1 ",21,1.49386133846895,0.169354838709677,0.0355329949238579,"encerra2=3","sexo2=0,bilateral=1  encerra2=3"
"126","sexo2=0,escol4=1 ",24,1.70727010110737,0.193548387096774,0.0406091370558376,"encerra2=3","sexo2=0,escol4=1  encerra2=3"
"127","sexo2=0,tipores3=1 ",26,1.4892421011824,0.168831168831169,0.0439932318104907,"encerra2=3","sexo2=0,tipores3=1  encerra2=3"
"128","sexo2=0,comtabagis=0 ",24,1.23802042419482,0.140350877192982,0.0406091370558376,"encerra2=3","sexo2=0,comtabagis=0  encerra2=3"
"129","raca3=1,mumigual=1 ",24,1.34841714991919,0.152866242038217,0.0406091370558376,"encerra2=3","raca3=1,mumigual=1  encerra2=3"
"130","mumigual=1,bilateral=1 ",25,1.21835573513647,0.138121546961326,0.0423011844331641,"encerra2=3","mumigual=1,bilateral=1  encerra2=3"
"131","escol4=1,mumigual=1 ",28,1.34231018818949,0.152173913043478,0.0473773265651438,"encerra2=3","escol4=1,mumigual=1  encerra2=3"
"132","mumigual=1,cavitacao=1 ",25,1.09712630875473,0.124378109452736,0.0423011844331641,"encerra2=3","mumigual=1,cavitacao=1  encerra2=3"
"133","mumigual=1,comdrogas=0 ",27,1.07281161758774,0.121621621621622,0.0456852791878173,"encerra2=3","mumigual=1,comdrogas=0  encerra2=3"
"134","mumigual=0,tipores3=1 ",30,1.15557583262726,0.131004366812227,0.050761421319797,"encerra2=3","mumigual=0,tipores3=1  encerra2=3"
"135","raca3=1,bilateral=1 ",34,1.28716930369611,0.145922746781116,0.0575296108291032,"encerra2=3","raca3=1,bilateral=1  encerra2=3"
"136","raca3=1,escol4=1 ",42,1.39277297721917,0.157894736842105,0.0710659898477157,"encerra2=3","raca3=1,escol4=1  encerra2=3"
"137","raca3=1,tipores3=1 ",43,1.33087195600943,0.150877192982456,0.0727580372250423,"encerra2=3","raca3=1,tipores3=1  encerra2=3"
"138","raca3=1,cavitacao=1 ",40,1.18799939695462,0.134680134680135,0.0676818950930626,"encerra2=3","raca3=1,cavitacao=1  encerra2=3"
"139","raca3=1,comdrogas=0 ",41,1.18966025137471,0.134868421052632,0.0693739424703892,"encerra2=3","raca3=1,comdrogas=0  encerra2=3"
"140","raca3=1,ppl=0 ",49,1.22443025664877,0.138810198300283,0.0829103214890017,"encerra2=3","raca3=1,ppl=0  encerra2=3"
"141","escol4=1,bilateral=1 ",44,1.60379918588874,0.181818181818182,0.0744500846023689,"encerra2=3","escol4=1,bilateral=1  encerra2=3"
"142","bilateral=1,tipores3=1 ",44,1.32917603762012,0.150684931506849,0.0744500846023689,"encerra2=3","bilateral=1,tipores3=1  encerra2=3"
"143","ppl=0,bilateral=1 ",49,1.19729606813578,0.135734072022161,0.0829103214890017,"encerra2=3","ppl=0,bilateral=1  encerra2=3"
"144","escol4=1,tipores3=1 ",48,1.39277297721917,0.157894736842105,0.0812182741116751,"encerra2=3","escol4=1,tipores3=1  encerra2=3"
"145","escol4=1,comtabagis=0 ",40,1.28303934871099,0.145454545454545,0.0676818950930626,"encerra2=3","escol4=1,comtabagis=0  encerra2=3"
"146","escol4=1,cavitacao=1 ",46,1.33036457058967,0.150819672131148,0.077834179357022,"encerra2=3","escol4=1,cavitacao=1  encerra2=3"
"147","escol4=1,ppl=0 ",54,1.29086275937386,0.146341463414634,0.0913705583756345,"encerra2=3","escol4=1,ppl=0  encerra2=3"
"148","cavitacao=1,tipores3=1 ",47,1.16455643132651,0.132022471910112,0.0795262267343486,"encerra2=3","cavitacao=1,tipores3=1  encerra2=3"
"149","ppl=0,tipores3=1 ",57,1.15850471146571,0.131336405529954,0.0964467005076142,"encerra2=3","ppl=0,tipores3=1  encerra2=3"
