"","Regras","count","lift","confidence","support","Desfechos","LHSandRHS"
"110","hiv3=2,comdiab=0 ",37,1.08290001485663,0.69811320754717,0.0626057529610829,"encerra2=0","hiv3=2,comdiab=0  encerra2=0"
"111","hiv3=2,ppl=0 ",44,1.06643700787402,0.6875,0.0744500846023689,"encerra2=0","hiv3=2,ppl=0  encerra2=0"
"112","ppl=0,cavitacao=0 ",19,1.14957002457002,0.143939393939394,0.0321489001692047,"encerra2=3","ppl=0,cavitacao=0  encerra2=3"
"113","alcool=1,bilateral=1 ",22,1.73963071982874,0.217821782178218,0.0372250423011844,"encerra2=3","alcool=1,bilateral=1  encerra2=3"
"114","alcool=1,comdrogas=0 ",22,1.70585148255051,0.213592233009709,0.0372250423011844,"encerra2=3","alcool=1,comdrogas=0  encerra2=3"
"115","comtabagis=1,bilateral=1 ",18,1.45208845208845,0.181818181818182,0.0304568527918782,"encerra2=3","comtabagis=1,bilateral=1  encerra2=3"
"116","sexo2=1,comtabagis=1 ",18,1.27218368811289,0.15929203539823,0.0304568527918782,"encerra2=3","sexo2=1,comtabagis=1  encerra2=3"
"117","comtabagis=1,tipores3=1 ",19,1.27515330456507,0.159663865546218,0.0321489001692047,"encerra2=3","comtabagis=1,tipores3=1  encerra2=3"
"118","comtabagis=1,cavitacao=1 ",20,1.30926007975188,0.163934426229508,0.0338409475465313,"encerra2=3","comtabagis=1,cavitacao=1  encerra2=3"
"119","hiv3=0,comtabagis=1 ",21,1.35255013077594,0.169354838709677,0.0355329949238579,"encerra2=3","hiv3=0,comtabagis=1  encerra2=3"
"120","comtabagis=1,comdrogas=0 ",18,1.30687960687961,0.163636363636364,0.0304568527918782,"encerra2=3","comtabagis=1,comdrogas=0  encerra2=3"
"121","comtabagis=1,ppl=0 ",24,1.32190121155638,0.16551724137931,0.0406091370558376,"encerra2=3","comtabagis=1,ppl=0  encerra2=3"
"122","sexo2=0,raca3=1 ",21,1.35255013077594,0.169354838709677,0.0355329949238579,"encerra2=3","sexo2=0,raca3=1  encerra2=3"
"123","sexo2=0,bilateral=1 ",18,1.26102418207681,0.157894736842105,0.0304568527918782,"encerra2=3","sexo2=0,bilateral=1  encerra2=3"
"124","sexo2=0,escol4=1 ",23,1.5972972972973,0.2,0.038917089678511,"encerra2=3","sexo2=0,escol4=1  encerra2=3"
"125","sexo2=0,tipores3=1 ",24,1.30391616105902,0.163265306122449,0.0406091370558376,"encerra2=3","sexo2=0,tipores3=1  encerra2=3"
"126","sexo2=0,comdiab=0 ",22,1.07135794330916,0.134146341463415,0.0372250423011844,"encerra2=3","sexo2=0,comdiab=0  encerra2=3"
"127","raca3=1,bilateral=0 ",19,1.16725571725572,0.146153846153846,0.0321489001692047,"encerra2=3","raca3=1,bilateral=0  encerra2=3"
"128","mumigual=1,bilateral=1 ",24,1.16875411997363,0.146341463414634,0.0406091370558376,"encerra2=3","mumigual=1,bilateral=1  encerra2=3"
"129","mumigual=1,comdrogas=0 ",25,1.02390852390852,0.128205128205128,0.0423011844331641,"encerra2=3","mumigual=1,comdrogas=0  encerra2=3"
"130","raca3=1,mumigual=0 ",32,1.14604290389044,0.143497757847534,0.0541455160744501,"encerra2=3","raca3=1,mumigual=0  encerra2=3"
"131","escol4=1,mumigual=0 ",32,1.17773072611782,0.147465437788018,0.0541455160744501,"encerra2=3","escol4=1,mumigual=0  encerra2=3"
"132","sexo2=1,mumigual=0 ",31,1.11022906314386,0.139013452914798,0.0524534686971235,"encerra2=3","sexo2=1,mumigual=0  encerra2=3"
"133","mumigual=0,tipores3=1 ",36,1.14547216539248,0.143426294820717,0.0609137055837563,"encerra2=3","mumigual=0,tipores3=1  encerra2=3"
"134","mumigual=0,ppl=0 ",45,1.03870488986096,0.130057803468208,0.0761421319796954,"encerra2=3","mumigual=0,ppl=0  encerra2=3"
"135","raca3=1,escol4=1 ",39,1.19338303821062,0.149425287356322,0.065989847715736,"encerra2=3","raca3=1,escol4=1  encerra2=3"
"136","raca3=1,tipores3=1 ",41,1.18211532832471,0.148014440433213,0.0693739424703892,"encerra2=3","raca3=1,tipores3=1  encerra2=3"
"137","raca3=1,comdrogas=0 ",45,1.18221017069701,0.148026315789474,0.0761421319796954,"encerra2=3","raca3=1,comdrogas=0  encerra2=3"
"138","raca3=1,ppl=0 ",51,1.17380637121271,0.146974063400576,0.0862944162436548,"encerra2=3","raca3=1,ppl=0  encerra2=3"
"139","escol4=1,bilateral=1 ",42,1.40348298088884,0.175732217573222,0.0710659898477157,"encerra2=3","escol4=1,bilateral=1  encerra2=3"
"140","comdrogas=0,bilateral=1 ",44,1.15214887018166,0.144262295081967,0.0744500846023689,"encerra2=3","comdrogas=0,bilateral=1  encerra2=3"
"141","ppl=0,bilateral=1 ",50,1.11232402318753,0.139275766016713,0.0846023688663283,"encerra2=3","ppl=0,bilateral=1  encerra2=3"
"142","escol4=1,tipores3=1 ",47,1.24705935171051,0.156146179401993,0.0795262267343486,"encerra2=3","escol4=1,tipores3=1  encerra2=3"
"143","escol4=1,cavitacao=1 ",44,1.1792127698168,0.147651006711409,0.0744500846023689,"encerra2=3","escol4=1,cavitacao=1  encerra2=3"
"144","escol4=1,comdrogas=0 ",47,1.23070447496677,0.154098360655738,0.0795262267343486,"encerra2=3","escol4=1,comdrogas=0  encerra2=3"
"145","escol4=1,ppl=0 ",55,1.20674933174933,0.151098901098901,0.0930626057529611,"encerra2=3","escol4=1,ppl=0  encerra2=3"
"146","sexo2=1,cavitacao=1 ",38,1.00492214068373,0.125827814569536,0.0642978003384095,"encerra2=3","sexo2=1,cavitacao=1  encerra2=3"
"147","ppl=0,tipores3=1 ",59,1.08572051313987,0.135944700460829,0.0998307952622673,"encerra2=3","ppl=0,tipores3=1  encerra2=3"
"148","hiv3=0,cavitacao=1 ",47,1.00364937129643,0.125668449197861,0.0795262267343486,"encerra2=3","hiv3=0,cavitacao=1  encerra2=3"
"149","comdiab=1,tipores3=0 ",18,1.21396781923999,0.782608695652174,0.0304568527918782,"encerra2=0","comdiab=1,tipores3=0  encerra2=0"
"150","sexo2=0,comdiab=1 ",27,1.10215499378367,0.710526315789474,0.0456852791878173,"encerra2=0","sexo2=0,comdiab=1  encerra2=0"
"151","escol4=0,comdiab=1 ",20,1.19321623258631,0.769230769230769,0.0338409475465313,"encerra2=0","escol4=0,comdiab=1  encerra2=0"
"152","comdiab=1,bilateral=0 ",25,1.10798650168729,0.714285714285714,0.0423011844331641,"encerra2=0","comdiab=1,bilateral=0  encerra2=0"
"153","mumigual=1,comdiab=1 ",23,1.18923884514436,0.766666666666667,0.038917089678511,"encerra2=0","mumigual=1,comdiab=1  encerra2=0"
"154","raca3=1,comdiab=1 ",35,1.13106955380577,0.729166666666667,0.0592216582064298,"encerra2=0","raca3=1,comdiab=1  encerra2=0"
"155","comdiab=1,comtabagis=0 ",51,1.14652516261554,0.739130434782609,0.0862944162436548,"encerra2=0","comdiab=1,comtabagis=0  encerra2=0"
"156","alcool=0,comdiab=1 ",55,1.18493000874891,0.763888888888889,0.0930626057529611,"encerra2=0","alcool=0,comdiab=1  encerra2=0"
"157","hiv3=0,comdiab=1 ",48,1.12813171080888,0.727272727272727,0.0812182741116751,"encerra2=0","hiv3=0,comdiab=1  encerra2=0"
"158","comdiab=1,comdrogas=0 ",58,1.09717687728058,0.707317073170732,0.0981387478849408,"encerra2=0","comdiab=1,comdrogas=0  encerra2=0"
"159","fxet3=1,comdiab=1 ",46,1.1508763017526,0.741935483870968,0.077834179357022,"encerra2=0","fxet3=1,comdiab=1  encerra2=0"
"160","comdiab=1,ppl=0 ",57,1.09157188684748,0.703703703703704,0.0964467005076142,"encerra2=0","comdiab=1,ppl=0  encerra2=0"
"161","comdiab=1,pdres5=1 ",58,1.09717687728058,0.707317073170732,0.0981387478849408,"encerra2=0","comdiab=1,pdres5=1  encerra2=0"
"162","comdrogas=1,cavitacao=1 ",23,1.90778947368421,0.306666666666667,0.038917089678511,"encerra2=1","comdrogas=1,cavitacao=1  encerra2=1"
"163","comdiab=0,comdrogas=1 ",28,1.91417004048583,0.307692307692308,0.0473773265651438,"encerra2=1","comdiab=0,comdrogas=1  encerra2=1"
"164","mumigual=0,alcool=1 ",23,1.72390615091947,0.27710843373494,0.038917089678511,"encerra2=1","mumigual=0,alcool=1  encerra2=1"
"165","raca3=1,alcool=1 ",27,1.67968421052632,0.27,0.0456852791878173,"encerra2=1","raca3=1,alcool=1  encerra2=1"
"166","alcool=1,bilateral=1 ",26,1.60145909327775,0.257425742574257,0.0439932318104907,"encerra2=1","alcool=1,bilateral=1  encerra2=1"
"167","alcool=1,comtabagis=0 ",18,1.64674922600619,0.264705882352941,0.0304568527918782,"encerra2=1","alcool=1,comtabagis=0  encerra2=1"
"168","alcool=1,tipores3=1 ",30,1.56833259619637,0.252100840336134,0.050761421319797,"encerra2=1","alcool=1,tipores3=1  encerra2=1"
"169","alcool=1,cavitacao=1 ",32,1.64523705959113,0.264462809917355,0.0541455160744501,"encerra2=1","alcool=1,cavitacao=1  encerra2=1"
"170","alcool=1,comdiab=0 ",34,1.52169632714881,0.244604316546763,0.0575296108291032,"encerra2=1","alcool=1,comdiab=0  encerra2=1"
"171","fxet3=1,alcool=1 ",35,1.60100619195046,0.257352941176471,0.0592216582064298,"encerra2=1","fxet3=1,alcool=1  encerra2=1"
"172","alcool=1,pdres5=1 ",36,1.52352309344791,0.244897959183673,0.0609137055837563,"encerra2=1","alcool=1,pdres5=1  encerra2=1"
"173","mumigual=0,comtabagis=1 ",21,1.45157894736842,0.233333333333333,0.0355329949238579,"encerra2=1","mumigual=0,comtabagis=1  encerra2=1"
"174","raca3=1,comtabagis=1 ",20,1.41387559808612,0.227272727272727,0.0338409475465313,"encerra2=1","raca3=1,comtabagis=1  encerra2=1"
"175","comtabagis=1,bilateral=1 ",20,1.25677830940989,0.202020202020202,0.0338409475465313,"encerra2=1","comtabagis=1,bilateral=1  encerra2=1"
"176","comtabagis=1,cavitacao=1 ",25,1.27480586712683,0.204918032786885,0.0423011844331641,"encerra2=1","comtabagis=1,cavitacao=1  encerra2=1"
"177","comdiab=0,comtabagis=1 ",27,1.21716247139588,0.195652173913043,0.0456852791878173,"encerra2=1","comdiab=0,comtabagis=1  encerra2=1"
"178","fxet3=1,comtabagis=1 ",28,1.31961722488038,0.212121212121212,0.0473773265651438,"encerra2=1","fxet3=1,comtabagis=1  encerra2=1"
"179","comtabagis=1,pdres5=1 ",29,1.20273684210526,0.193333333333333,0.0490693739424704,"encerra2=1","comtabagis=1,pdres5=1  encerra2=1"
"180","sexo2=0,escol4=1 ",23,1.24421052631579,0.2,0.038917089678511,"encerra2=1","sexo2=0,escol4=1  encerra2=1"
"181","mumigual=0,bilateral=0 ",30,1.23597072150575,0.198675496688742,0.050761421319797,"encerra2=1","mumigual=0,bilateral=0  encerra2=1"
"182","raca3=1,bilateral=0 ",26,1.24421052631579,0.2,0.0439932318104907,"encerra2=1","raca3=1,bilateral=0  encerra2=1"
"183","escol4=1,bilateral=0 ",33,1.44573758339511,0.232394366197183,0.0558375634517767,"encerra2=1","escol4=1,bilateral=0  encerra2=1"
"184","sexo2=1,bilateral=0 ",26,1.20706991358994,0.194029850746269,0.0439932318104907,"encerra2=1","sexo2=1,bilateral=0  encerra2=1"
"185","comtabagis=0,bilateral=0 ",31,1.14113983182809,0.183431952662722,0.0524534686971235,"encerra2=1","comtabagis=0,bilateral=0  encerra2=1"
"186","bilateral=0,tipores3=1 ",31,1.26047471620227,0.202614379084967,0.0524534686971235,"encerra2=1","bilateral=0,tipores3=1  encerra2=1"
"187","cavitacao=1,bilateral=0 ",29,1.14183877415057,0.183544303797468,0.0490693739424704,"encerra2=1","cavitacao=1,bilateral=0  encerra2=1"
"188","hiv3=0,bilateral=0 ",32,1.1311004784689,0.181818181818182,0.0541455160744501,"encerra2=1","hiv3=0,bilateral=0  encerra2=1"
"189","comdiab=0,bilateral=0 ",37,1.23090346186321,0.197860962566845,0.0626057529610829,"encerra2=1","comdiab=0,bilateral=0  encerra2=1"
"190","fxet3=1,bilateral=0 ",38,1.182,0.19,0.0642978003384095,"encerra2=1","fxet3=1,bilateral=0  encerra2=1"
"191","pdres5=1,bilateral=0 ",40,1.12598237675637,0.180995475113122,0.0676818950930626,"encerra2=1","pdres5=1,bilateral=0  encerra2=1"
"192","raca3=1,mumigual=0 ",49,1.36695775312721,0.219730941704036,0.0829103214890017,"encerra2=1","raca3=1,mumigual=0  encerra2=1"
"193","escol4=1,mumigual=0 ",48,1.37608537472714,0.221198156682028,0.0812182741116751,"encerra2=1","escol4=1,mumigual=0  encerra2=1"
"194","sexo2=1,mumigual=0 ",47,1.31116355912202,0.210762331838565,0.0795262267343486,"encerra2=1","sexo2=1,mumigual=0  encerra2=1"
"195","mumigual=0,tipores3=1 ",49,1.21446844202139,0.195219123505976,0.0829103214890017,"encerra2=1","mumigual=0,tipores3=1  encerra2=1"
"196","mumigual=0,cavitacao=1 ",56,1.25768573057192,0.202166064981949,0.0947546531302876,"encerra2=1","mumigual=0,cavitacao=1  encerra2=1"
"197","mumigual=0,comdiab=0 ",61,1.25242313705055,0.201320132013201,0.10321489001692,"encerra2=1","mumigual=0,comdiab=0  encerra2=1"
"198","fxet3=1,mumigual=0 ",63,1.20592712550607,0.193846153846154,0.106598984771574,"encerra2=1","fxet3=1,mumigual=0  encerra2=1"
"199","raca3=1,escol4=1 ",52,1.23944343617665,0.199233716475096,0.0879864636209814,"encerra2=1","raca3=1,escol4=1  encerra2=1"
"200","sexo2=1,raca3=1 ",44,1.1647928331467,0.187234042553191,0.0744500846023689,"encerra2=1","sexo2=1,raca3=1  encerra2=1"
