"","Regras","count","lift","confidence","support","Desfechos","LHSandRHS"
"110","sexo2=0,raca3=1 ",22,1.54015636105188,0.174603174603175,0.0372250423011844,"encerra2=3","sexo2=0,raca3=1  encerra2=3"
"111","sexo2=0,bilateral=1 ",22,1.63075379405494,0.184873949579832,0.0372250423011844,"encerra2=3","sexo2=0,bilateral=1  encerra2=3"
"112","sexo2=0,escol4=1 ",24,1.90722065348931,0.216216216216216,0.0406091370558376,"encerra2=3","sexo2=0,escol4=1  encerra2=3"
"113","sexo2=0,tipores3=1 ",24,1.46001029336078,0.16551724137931,0.0406091370558376,"encerra2=3","sexo2=0,tipores3=1  encerra2=3"
"114","raca3=1,mumigual=1 ",22,1.3112141992739,0.148648648648649,0.0372250423011844,"encerra2=3","raca3=1,mumigual=1  encerra2=3"
"115","mumigual=1,bilateral=1 ",24,1.1568387570345,0.131147540983607,0.0406091370558376,"encerra2=3","mumigual=1,bilateral=1  encerra2=3"
"116","escol4=1,mumigual=1 ",26,1.31053304904051,0.148571428571429,0.0439932318104907,"encerra2=3","escol4=1,mumigual=1  encerra2=3"
"117","mumigual=1,tipores3=1 ",27,1.12341593917206,0.127358490566038,0.0456852791878173,"encerra2=3","mumigual=1,tipores3=1  encerra2=3"
"118","mumigual=1,alcool=0 ",24,1.09124480689337,0.123711340206186,0.0406091370558376,"encerra2=3","mumigual=1,alcool=0  encerra2=3"
"119","mumigual=1,cavitacao=1 ",25,1.13671334051393,0.128865979381443,0.0423011844331641,"encerra2=3","mumigual=1,cavitacao=1  encerra2=3"
"120","mumigual=1,comdrogas=0 ",27,1.07766596879854,0.122171945701357,0.0456852791878173,"encerra2=3","mumigual=1,comdrogas=0  encerra2=3"
"121","mumigual=1,ppl=0 ",31,1.10261194029851,0.125,0.0524534686971235,"encerra2=3","mumigual=1,ppl=0  encerra2=3"
"122","sexo2=1,mumigual=0 ",25,1.04512980123081,0.118483412322275,0.0423011844331641,"encerra2=3","sexo2=1,mumigual=0  encerra2=3"
"123","raca3=1,bilateral=1 ",33,1.2767085624509,0.144736842105263,0.0558375634517767,"encerra2=3","raca3=1,bilateral=1  encerra2=3"
"124","raca3=1,escol4=1 ",38,1.31448639157155,0.149019607843137,0.0642978003384095,"encerra2=3","raca3=1,escol4=1  encerra2=3"
"125","raca3=1,tipores3=1 ",41,1.29626063232226,0.146953405017921,0.0693739424703892,"encerra2=3","raca3=1,tipores3=1  encerra2=3"
"126","raca3=1,ppl=0 ",49,1.23140706722796,0.13960113960114,0.0829103214890017,"encerra2=3","raca3=1,ppl=0  encerra2=3"
"127","escol4=1,bilateral=1 ",39,1.46389329946015,0.165957446808511,0.065989847715736,"encerra2=3","escol4=1,bilateral=1  encerra2=3"
"128","bilateral=1,tipores3=1 ",40,1.22939310416558,0.139372822299652,0.0676818950930626,"encerra2=3","bilateral=1,tipores3=1  encerra2=3"
"129","cavitacao=1,bilateral=1 ",40,1.18005291269405,0.133779264214047,0.0676818950930626,"encerra2=3","cavitacao=1,bilateral=1  encerra2=3"
"130","comdrogas=0,bilateral=1 ",42,1.21468069488622,0.137704918032787,0.0710659898477157,"encerra2=3","comdrogas=0,bilateral=1  encerra2=3"
"131","ppl=0,bilateral=1 ",48,1.18600275931268,0.134453781512605,0.0812182741116751,"encerra2=3","ppl=0,bilateral=1  encerra2=3"
"132","escol4=1,tipores3=1 ",44,1.33374365286967,0.151202749140893,0.0744500846023689,"encerra2=3","escol4=1,tipores3=1  encerra2=3"
"133","escol4=1,alcool=0 ",38,1.27936652614789,0.145038167938931,0.0642978003384095,"encerra2=3","escol4=1,alcool=0  encerra2=3"
"134","escol4=1,cavitacao=1 ",42,1.28638059701493,0.145833333333333,0.0710659898477157,"encerra2=3","escol4=1,cavitacao=1  encerra2=3"
"135","escol4=1,comtabagis=0 ",38,1.2460744604117,0.141263940520446,0.0642978003384095,"encerra2=3","escol4=1,comtabagis=0  encerra2=3"
"136","escol4=1,hiv3=0 ",41,1.25140732324537,0.141868512110727,0.0693739424703892,"encerra2=3","escol4=1,hiv3=0  encerra2=3"
"137","escol4=1,comdrogas=0 ",42,1.24321346288691,0.140939597315436,0.0710659898477157,"encerra2=3","escol4=1,comdrogas=0  encerra2=3"
"138","escol4=1,ppl=0 ",52,1.3030868385346,0.147727272727273,0.0879864636209814,"encerra2=3","escol4=1,ppl=0  encerra2=3"
"139","alcool=0,tipores3=1 ",42,1.11926770978942,0.126888217522659,0.0710659898477157,"encerra2=3","alcool=0,tipores3=1  encerra2=3"
"140","cavitacao=1,tipores3=1 ",43,1.12551485893972,0.127596439169139,0.0727580372250423,"encerra2=3","cavitacao=1,tipores3=1  encerra2=3"
"141","ppl=0,tipores3=1 ",56,1.15413586274236,0.130841121495327,0.0947546531302876,"encerra2=3","ppl=0,tipores3=1  encerra2=3"
"142","alcool=0,cavitacao=1 ",39,1.01779563719862,0.115384615384615,0.065989847715736,"encerra2=3","alcool=0,cavitacao=1  encerra2=3"
"143","hiv3=0,cavitacao=1 ",45,1.06133769654402,0.120320855614973,0.0761421319796954,"encerra2=3","hiv3=0,cavitacao=1  encerra2=3"
"144","ppl=0,cavitacao=1 ",52,1.05445187853834,0.119540229885057,0.0879864636209814,"encerra2=3","ppl=0,cavitacao=1  encerra2=3"
"145","hiv3=0,comdrogas=0 ",46,1.01694534844574,0.115288220551378,0.077834179357022,"encerra2=3","hiv3=0,comdrogas=0  encerra2=3"
"146","hiv3=2,bilateral=0 ",26,1.20944510035419,0.787878787878788,0.0439932318104907,"encerra2=0","hiv3=2,bilateral=0  encerra2=0"
"147","raca3=0,hiv3=2 ",26,1.24724025974026,0.8125,0.0439932318104907,"encerra2=0","raca3=0,hiv3=2  encerra2=0"
"148","mumigual=0,hiv3=2 ",25,1.09647495361781,0.714285714285714,0.0423011844331641,"encerra2=0","mumigual=0,hiv3=2  encerra2=0"
"149","sexo2=1,hiv3=2 ",29,1.05992578849722,0.69047619047619,0.0490693739424704,"encerra2=0","sexo2=1,hiv3=2  encerra2=0"
"150","hiv3=2,alcool=0 ",40,1.09647495361781,0.714285714285714,0.0676818950930626,"encerra2=0","hiv3=2,alcool=0  encerra2=0"
"151","hiv3=2,comdrogas=0 ",47,1.09315230224321,0.712121212121212,0.0795262267343486,"encerra2=0","hiv3=2,comdrogas=0  encerra2=0"
"152","hiv3=2,comdiab=0 ",40,1.04072198987453,0.677966101694915,0.0676818950930626,"encerra2=0","hiv3=2,comdiab=0  encerra2=0"
"153","comdiab=1,tipores3=0 ",21,1.34318181818182,0.875,0.0355329949238579,"encerra2=0","comdiab=1,tipores3=0  encerra2=0"
"154","sexo2=0,comdiab=1 ",29,1.11292207792208,0.725,0.0490693739424704,"encerra2=0","sexo2=0,comdiab=1  encerra2=0"
"155","escol4=0,comdiab=1 ",25,1.2379555927943,0.806451612903226,0.0423011844331641,"encerra2=0","escol4=0,comdiab=1  encerra2=0"
"156","comdiab=1,bilateral=0 ",25,1.19926948051948,0.78125,0.0423011844331641,"encerra2=0","comdiab=1,bilateral=0  encerra2=0"
"157","raca3=0,comdiab=1 ",27,1.1512987012987,0.75,0.0456852791878173,"encerra2=0","raca3=0,comdiab=1  encerra2=0"
"158","mumigual=1,comdiab=1 ",23,1.13891914537076,0.741935483870968,0.038917089678511,"encerra2=0","mumigual=1,comdiab=1  encerra2=0"
"159","alcool=0,comdiab=1 ",55,1.14092664092664,0.743243243243243,0.0930626057529611,"encerra2=0","alcool=0,comdiab=1  encerra2=0"
"160","comdiab=1,comtabagis=0 ",52,1.10865800865801,0.722222222222222,0.0879864636209814,"encerra2=0","comdiab=1,comtabagis=0  encerra2=0"
"161","hiv3=0,comdiab=1 ",50,1.12872421695951,0.735294117647059,0.0846023688663283,"encerra2=0","hiv3=0,comdiab=1  encerra2=0"
"162","comdiab=1,comdrogas=0 ",59,1.14644090087128,0.746835443037975,0.0998307952622673,"encerra2=0","comdiab=1,comdrogas=0  encerra2=0"
"163","fxet3=1,comdiab=1 ",45,1.11416003351487,0.725806451612903,0.0761421319796954,"encerra2=0","fxet3=1,comdiab=1  encerra2=0"
"164","comdiab=1,pdres5=1 ",57,1.10757849745192,0.721518987341772,0.0964467005076142,"encerra2=0","comdiab=1,pdres5=1  encerra2=0"
"165","mumigual=0,comdrogas=1 ",18,2.07976539589443,0.327272727272727,0.0304568527918782,"encerra2=1","mumigual=0,comdrogas=1  encerra2=1"
"166","raca3=1,comdrogas=1 ",19,2.11827956989247,0.333333333333333,0.0321489001692047,"encerra2=1","raca3=1,comdrogas=1  encerra2=1"
"167","comdrogas=1,bilateral=1 ",25,2.40713587487781,0.378787878787879,0.0423011844331641,"encerra2=1","comdrogas=1,bilateral=1  encerra2=1"
"168","comdrogas=1,cavitacao=1 ",27,2.25764006791171,0.355263157894737,0.0456852791878173,"encerra2=1","comdrogas=1,cavitacao=1  encerra2=1"
"169","comtabagis=0,comdrogas=1 ",19,2.36748893105629,0.372549019607843,0.0321489001692047,"encerra2=1","comtabagis=0,comdrogas=1  encerra2=1"
"170","comdrogas=1,pdres5=1 ",30,2.07223001402525,0.326086956521739,0.050761421319797,"encerra2=1","comdrogas=1,pdres5=1  encerra2=1"
"171","comtabagis=1,bilateral=1 ",20,1.42805364262414,0.224719101123595,0.0338409475465313,"encerra2=1","comtabagis=1,bilateral=1  encerra2=1"
"172","comtabagis=1,tipores3=1 ",18,1.07912355447352,0.169811320754717,0.0304568527918782,"encerra2=1","comtabagis=1,tipores3=1  encerra2=1"
"173","comtabagis=1,cavitacao=1 ",19,1.12842930358758,0.177570093457944,0.0321489001692047,"encerra2=1","comtabagis=1,cavitacao=1  encerra2=1"
"174","hiv3=0,comtabagis=1 ",20,1.14501598372566,0.18018018018018,0.0338409475465313,"encerra2=1","hiv3=0,comtabagis=1  encerra2=1"
"175","comdiab=0,comtabagis=1 ",22,1.13663781799108,0.178861788617886,0.0372250423011844,"encerra2=1","comdiab=0,comtabagis=1  encerra2=1"
"176","fxet3=1,comtabagis=1 ",22,1.18480043739748,0.186440677966102,0.0372250423011844,"encerra2=1","fxet3=1,comtabagis=1  encerra2=1"
"177","comtabagis=1,pdres5=1 ",22,1.06722482147254,0.16793893129771,0.0372250423011844,"encerra2=1","comtabagis=1,pdres5=1  encerra2=1"
"178","cavitacao=0,tipores3=1 ",18,1.07912355447352,0.169811320754717,0.0304568527918782,"encerra2=1","cavitacao=0,tipores3=1  encerra2=1"
"179","mumigual=0,alcool=1 ",20,1.65060745705907,0.25974025974026,0.0338409475465313,"encerra2=1","mumigual=0,alcool=1  encerra2=1"
"180","raca3=1,alcool=1 ",22,1.45631720430108,0.229166666666667,0.0372250423011844,"encerra2=1","raca3=1,alcool=1  encerra2=1"
"181","alcool=1,bilateral=1 ",26,1.73921901528014,0.273684210526316,0.0439932318104907,"encerra2=1","alcool=1,bilateral=1  encerra2=1"
"182","alcool=1,tipores3=1 ",26,1.47523041474654,0.232142857142857,0.0439932318104907,"encerra2=1","alcool=1,tipores3=1  encerra2=1"
"183","alcool=1,cavitacao=1 ",27,1.50509337860781,0.236842105263158,0.0456852791878173,"encerra2=1","alcool=1,cavitacao=1  encerra2=1"
"184","fxet3=1,alcool=1 ",30,1.46650124069479,0.230769230769231,0.050761421319797,"encerra2=1","fxet3=1,alcool=1  encerra2=1"
"185","alcool=1,pdres5=1 ",31,1.40714285714286,0.221428571428571,0.0524534686971235,"encerra2=1","alcool=1,pdres5=1  encerra2=1"
"186","comtabagis=0,bilateral=0 ",28,1.01099706744868,0.159090909090909,0.0473773265651438,"encerra2=1","comtabagis=0,bilateral=0  encerra2=1"
"187","raca3=1,mumigual=0 ",44,1.30052513128282,0.204651162790698,0.0744500846023689,"encerra2=1","raca3=1,mumigual=0  encerra2=1"
"188","mumigual=0,bilateral=1 ",38,1.28448867536033,0.202127659574468,0.0642978003384095,"encerra2=1","mumigual=0,bilateral=1  encerra2=1"
"189","escol4=1,mumigual=0 ",40,1.28380579993483,0.202020202020202,0.0676818950930626,"encerra2=1","escol4=1,mumigual=0  encerra2=1"
"190","sexo2=1,mumigual=0 ",41,1.23482647913163,0.194312796208531,0.0693739424703892,"encerra2=1","sexo2=1,mumigual=0  encerra2=1"
"191","mumigual=0,tipores3=1 ",44,1.21044546850998,0.19047619047619,0.0744500846023689,"encerra2=1","mumigual=0,tipores3=1  encerra2=1"
"192","mumigual=0,cavitacao=1 ",50,1.23155788947237,0.193798449612403,0.0846023688663283,"encerra2=1","mumigual=0,cavitacao=1  encerra2=1"
"193","mumigual=0,comdiab=0 ",56,1.26644472506027,0.199288256227758,0.0947546531302876,"encerra2=1","mumigual=0,comdiab=0  encerra2=1"
"194","fxet3=1,mumigual=0 ",56,1.1783806878872,0.185430463576159,0.0947546531302876,"encerra2=1","fxet3=1,mumigual=0  encerra2=1"
"195","raca3=1,bilateral=1 ",45,1.25424448217317,0.197368421052632,0.0761421319796954,"encerra2=1","raca3=1,bilateral=1  encerra2=1"
"196","raca3=1,escol4=1 ",48,1.19620493358634,0.188235294117647,0.0812182741116751,"encerra2=1","raca3=1,escol4=1  encerra2=1"
"197","sexo2=1,raca3=1 ",45,1.20661494487546,0.189873417721519,0.0761421319796954,"encerra2=1","sexo2=1,raca3=1  encerra2=1"
"198","raca3=1,tipores3=1 ",51,1.16163718348942,0.182795698924731,0.0862944162436548,"encerra2=1","raca3=1,tipores3=1  encerra2=1"
"199","raca3=1,cavitacao=1 ",52,1.14740143369176,0.180555555555556,0.0879864636209814,"encerra2=1","raca3=1,cavitacao=1  encerra2=1"
"200","raca3=1,comdiab=0 ",63,1.2629490180116,0.198738170347003,0.106598984771574,"encerra2=1","raca3=1,comdiab=0  encerra2=1"
"201","raca3=1,fxet3=1 ",62,1.20858895705521,0.190184049079755,0.104906937394247,"encerra2=1","raca3=1,fxet3=1  encerra2=1"
"202","raca3=1,pdres5=1 ",64,1.13924279389175,0.179271708683473,0.1082910321489,"encerra2=1","raca3=1,pdres5=1  encerra2=1"
"203","escol4=1,bilateral=1 ",42,1.13575840768703,0.178723404255319,0.0710659898477157,"encerra2=1","escol4=1,bilateral=1  encerra2=1"
"204","sexo2=1,bilateral=1 ",44,1.10957501280082,0.174603174603175,0.0744500846023689,"encerra2=1","sexo2=1,bilateral=1  encerra2=1"
"205","bilateral=1,tipores3=1 ",49,1.08497246262785,0.170731707317073,0.0829103214890017,"encerra2=1","bilateral=1,tipores3=1  encerra2=1"
"206","cavitacao=1,bilateral=1 ",54,1.14769662315244,0.180602006688963,0.0913705583756345,"encerra2=1","cavitacao=1,bilateral=1  encerra2=1"
"207","comdiab=0,bilateral=1 ",60,1.18782031956587,0.186915887850467,0.101522842639594,"encerra2=1","comdiab=0,bilateral=1  encerra2=1"
"208","fxet3=1,bilateral=1 ",61,1.16409958345442,0.183183183183183,0.10321489001692,"encerra2=1","fxet3=1,bilateral=1  encerra2=1"
"209","pdres5=1,bilateral=1 ",62,1.08539944903581,0.170798898071625,0.104906937394247,"encerra2=1","pdres5=1,bilateral=1  encerra2=1"
"210","sexo2=1,escol4=1 ",47,1.13999015020931,0.179389312977099,0.0795262267343486,"encerra2=1","sexo2=1,escol4=1  encerra2=1"
"211","escol4=1,tipores3=1 ",52,1.13557255293205,0.178694158075601,0.0879864636209814,"encerra2=1","escol4=1,tipores3=1  encerra2=1"
"212","escol4=1,alcool=0 ",47,1.13999015020931,0.179389312977099,0.0795262267343486,"encerra2=1","escol4=1,alcool=0  encerra2=1"
"213","escol4=1,comtabagis=0 ",52,1.22844465763281,0.193308550185874,0.0879864636209814,"encerra2=1","escol4=1,comtabagis=0  encerra2=1"
