"","ID","LHSandRHS","Desfechos","count","lift","confidence","support","count.x","lift.x","confidence.x","support.x","count.y","lift.y","confidence.y","support.y","count.x.17","lift.x.17","confidence.x.17","support.x.17","count.y.17","lift.y.17","confidence.y.17","support.y.17","count.x.16","lift.x.16","confidence.x.16","support.x.16","count.y.16","lift.y.16","confidence.y.16","support.y.16","count.x.15","lift.x.15","confidence.x.15","support.x.15","count.y.15","lift.y.15","confidence.y.15","support.y.15","count.x.14","lift.x.14","confidence.x.14","support.x.14","count.y.14","lift.y.14","confidence.y.14","support.y.14","count.x.13","lift.x.13","confidence.x.13","support.x.13","count.y.13","lift.y.13","confidence.y.13","support.y.13","count.x.12","lift.x.12","confidence.x.12","support.x.12","count.y.12","lift.y.12","confidence.y.12","support.y.12","count.x.11","lift.x.11","confidence.x.11","support.x.11","count.y.11","lift.y.11","confidence.y.11","support.y.11","count.x.10","lift.x.10","confidence.x.10","support.x.10","count.y.10","lift.y.10","confidence.y.10","support.y.10","count.x.9","lift.x.9","confidence.x.9","support.x.9","count.y.9","lift.y.9","confidence.y.9","support.y.9","count.x.8","lift.x.8","confidence.x.8","support.x.8","count.y.8","lift.y.8","confidence.y.8","support.y.8","count.x.7","lift.x.7","confidence.x.7","support.x.7","count.y.7","lift.y.7","confidence.y.7","support.y.7","count.x.6","lift.x.6","confidence.x.6","support.x.6","count.y.6","lift.y.6","confidence.y.6","support.y.6","count.x.5","lift.x.5","confidence.x.5","support.x.5","count.y.5","lift.y.5","confidence.y.5","support.y.5","count.x.4","lift.x.4","confidence.x.4","support.x.4","count.y.4","lift.y.4","confidence.y.4","support.y.4","count.x.3","lift.x.3","confidence.x.3","support.x.3","count.y.3","lift.y.3","confidence.y.3","support.y.3","count.x.2","lift.x.2","confidence.x.2","support.x.2","count.y.2","lift.y.2","confidence.y.2","support.y.2","count.x.1","lift.x.1","confidence.x.1","support.x.1","count.y.1","lift.y.1","confidence.y.1","support.y.1"
"92",92,"fxet3=1,escol4=0,alcool=0,comtabagis=0,ppl=0,tipores3=0","encerra2=0",21,1.35183621781342,0.91304347826087,0.0688524590163934,21,1.39725130890052,0.875,0.0688524590163934,15,1.16709183673469,0.75,0.0491803278688525,19,1.35777881911903,0.863636363636364,0.0622950819672131,16,1.21212121212121,0.727272727272727,0.0524590163934426,29,1.35368839914294,0.878787878787879,0.0950819672131148,22,1.28102329133257,0.814814814814815,0.0721311475409836,27,1.41494845360825,0.9,0.0885245901639344,22,1.30799220272904,0.814814814814815,0.0721311475409836,18,1.25399725902238,0.818181818181818,0.059016393442623,25,1.34812588401697,0.892857142857143,0.0819672131147541,21,1.21652421652422,0.777777777777778,0.0688524590163934,16,1.20404638539354,0.761904761904762,0.0524590163934426,20,1.12962962962963,0.740740740740741,0.0655737704918033,21,1.28925120772947,0.777777777777778,0.0688524590163934,21,1.36160714285714,0.875,0.0688524590163934,27,1.34845259538235,0.870967741935484,0.0885245901639344,21,1.24853801169591,0.777777777777778,0.0688524590163934,22,1.11000827129859,0.709677419354839,0.0721311475409836,23,1.17859543010753,0.741935483870968,0.0754098360655738,24,1.32034632034632,0.857142857142857,0.0786885245901639,27,1.35221674876847,0.9,0.0885245901639344,27,1.3390243902439,0.9,0.0885245901639344,21,1.26331360946746,0.807692307692308,0.0688524590163934,22,1.38350515463918,0.88,0.0721311475409836,16,1.18561710398445,0.761904761904762,0.0524590163934426,27,1.35891089108911,0.9,0.0885245901639344,14,1.3360450563204,0.823529411764706,0.0459016393442623,20,1.35555555555556,0.8,0.0655737704918033,22,1.19267685744756,0.758620689655172,0.0721311475409836,25,1.19720521274925,0.757575757575758,0.0819672131147541,19,1.43440594059406,0.95,0.0622950819672131,18,1.14949748743719,0.75,0.059016393442623,18,1.29024676850764,0.782608695652174,0.059016393442623,12,1.42857142857143,0.857142857142857,0.039344262295082,22,1.43192488262911,1,0.0721311475409836,14,1.24200116346713,0.777777777777778,0.0459016393442623
"93",93,"fxet3=1,escol4=0,alcool=0,comtabagis=0,tipores3=0","encerra2=0",21,1.35183621781342,0.91304347826087,0.0688524590163934,21,1.39725130890052,0.875,0.0688524590163934,15,1.16709183673469,0.75,0.0491803278688525,19,1.35777881911903,0.863636363636364,0.0622950819672131,16,1.21212121212121,0.727272727272727,0.0524590163934426,29,1.35368839914294,0.878787878787879,0.0950819672131148,22,1.28102329133257,0.814814814814815,0.0721311475409836,27,1.41494845360825,0.9,0.0885245901639344,22,1.30799220272904,0.814814814814815,0.0721311475409836,18,1.25399725902238,0.818181818181818,0.059016393442623,25,1.34812588401697,0.892857142857143,0.0819672131147541,21,1.21652421652422,0.777777777777778,0.0688524590163934,16,1.20404638539354,0.761904761904762,0.0524590163934426,20,1.12962962962963,0.740740740740741,0.0655737704918033,21,1.28925120772947,0.777777777777778,0.0688524590163934,21,1.36160714285714,0.875,0.0688524590163934,27,1.34845259538235,0.870967741935484,0.0885245901639344,21,1.24853801169591,0.777777777777778,0.0688524590163934,22,1.11000827129859,0.709677419354839,0.0721311475409836,23,1.17859543010753,0.741935483870968,0.0754098360655738,24,1.32034632034632,0.857142857142857,0.0786885245901639,27,1.35221674876847,0.9,0.0885245901639344,27,1.3390243902439,0.9,0.0885245901639344,21,1.26331360946746,0.807692307692308,0.0688524590163934,22,1.38350515463918,0.88,0.0721311475409836,16,1.18561710398445,0.761904761904762,0.0524590163934426,27,1.35891089108911,0.9,0.0885245901639344,14,1.3360450563204,0.823529411764706,0.0459016393442623,20,1.35555555555556,0.8,0.0655737704918033,22,1.19267685744756,0.758620689655172,0.0721311475409836,25,1.19720521274925,0.757575757575758,0.0819672131147541,19,1.43440594059406,0.95,0.0622950819672131,18,1.14949748743719,0.75,0.059016393442623,18,1.29024676850764,0.782608695652174,0.059016393442623,12,1.42857142857143,0.857142857142857,0.039344262295082,22,1.43192488262911,1,0.0721311475409836,14,1.24200116346713,0.777777777777778,0.0459016393442623
"94",94,"fxet3=1,escol4=0,alcool=0,pdres5=1,cavitacao=0","encerra2=0",22,1.25280059746079,0.846153846153846,0.0721311475409836,20,1.33071553228621,0.833333333333333,0.0655737704918033,17,1.10225340136054,0.708333333333333,0.0557377049180328,15,1.3872043662826,0.882352941176471,0.0491803278688525,16,1.33333333333333,0.8,0.0524590163934426,22,1.35555555555556,0.88,0.0721311475409836,15,1.3872043662826,0.882352941176471,0.0491803278688525,19,1.42243495336279,0.904761904761905,0.0622950819672131,15,1.20394736842105,0.75,0.0491803278688525,18,1.37939698492462,0.9,0.059016393442623,18,1.13242574257426,0.75,0.059016393442623,14,1.36858974358974,0.875,0.0459016393442623,18,1.13782383419689,0.72,0.059016393442623,25,1.31465517241379,0.862068965517241,0.0819672131147541,20,1.50691699604743,0.909090909090909,0.0655737704918033,19,1.13716640502355,0.730769230769231,0.0622950819672131,20,1.29018612521151,0.833333333333333,0.0655737704918033,18,1.25629290617849,0.782608695652174,0.059016393442623,24,1.29442970822281,0.827586206896552,0.0786885245901639,12,1.19140625,0.75,0.039344262295082,19,1.21948653198653,0.791666666666667,0.0622950819672131,28,1.35706340378198,0.903225806451613,0.0918032786885246,21,1.15718157181572,0.777777777777778,0.0688524590163934,16,1.31713900134953,0.842105263157895,0.0524590163934426,17,1.33634020618557,0.85,0.0557377049180328,18,1.27319109461967,0.818181818181818,0.059016393442623,26,1.30858085808581,0.866666666666667,0.0852459016393443,16,1.29787234042553,0.8,0.0524590163934426,17,1.2524154589372,0.739130434782609,0.0557377049180328,23,1.33925162275678,0.851851851851852,0.0754098360655738,16,1.3307881101718,0.842105263157895,0.0524590163934426,21,1.37860525182953,0.91304347826087,0.0688524590163934,20,1.22613065326633,0.8,0.0655737704918033,20,1.43360752056404,0.869565217391304,0.0655737704918033,18,1.36363636363636,0.818181818181818,0.059016393442623,18,1.35656041512231,0.947368421052632,0.059016393442623,13,1.22112719433323,0.764705882352941,0.0426229508196721
"95",95,"fxet3=1,escol4=0,alcool=0,pdres5=1,tipores3=0","encerra2=0",24,1.36669156086632,0.923076923076923,0.0786885245901639,24,1.41942990110529,0.888888888888889,0.0786885245901639,19,1.23193027210884,0.791666666666667,0.0622950819672131,23,1.39076130055512,0.884615384615385,0.0754098360655738,17,1.18055555555556,0.708333333333333,0.0557377049180328,31,1.32645903479237,0.861111111111111,0.101639344262295,27,1.32651417525773,0.84375,0.0885245901639344,28,1.37564432989691,0.875,0.0918032786885246,25,1.33771929824561,0.833333333333333,0.0819672131147541,21,1.28743718592965,0.84,0.0688524590163934,28,1.36378153944427,0.903225806451613,0.0918032786885246,24,1.25128205128205,0.8,0.0786885245901639,19,1.25107944732297,0.791666666666667,0.0622950819672131,25,1.19140625,0.78125,0.0819672131147541,26,1.30599472990777,0.787878787878788,0.0852459016393443,26,1.34863945578231,0.866666666666667,0.0852459016393443,28,1.31364405476081,0.848484848484849,0.0918032786885246,22,1.26127819548872,0.785714285714286,0.0721311475409836,24,1.13752913752914,0.727272727272727,0.0786885245901639,25,1.20344065656566,0.757575757575758,0.0819672131147541,28,1.34785353535354,0.875,0.0918032786885246,30,1.32570269487105,0.882352941176471,0.0983606557377049,32,1.3602787456446,0.914285714285714,0.104918032786885,24,1.29442970822281,0.827586206896552,0.0786885245901639,24,1.39747995418099,0.888888888888889,0.0786885245901639,20,1.24489795918367,0.8,0.0655737704918033,31,1.3766744321491,0.911764705882353,0.101639344262295,15,1.35195035460993,0.833333333333333,0.0491803278688525,22,1.38065843621399,0.814814814814815,0.0721311475409836,24,1.21715996009312,0.774193548387097,0.0786885245901639,29,1.23862204173085,0.783783783783784,0.0950819672131148,19,1.43440594059406,0.95,0.0622950819672131,21,1.14949748743719,0.75,0.0688524590163934,21,1.28228228228228,0.777777777777778,0.0688524590163934,14,1.37254901960784,0.823529411764706,0.0459016393442623,25,1.37685084868183,0.961538461538462,0.0819672131147541,16,1.27748691099476,0.8,0.0524590163934426
"96",96,"fxet3=1,escol4=0,alcool=0,ppl=0,cavitacao=0","encerra2=0",22,1.25280059746079,0.846153846153846,0.0721311475409836,20,1.33071553228621,0.833333333333333,0.0655737704918033,17,1.10225340136054,0.708333333333333,0.0557377049180328,15,1.3872043662826,0.882352941176471,0.0491803278688525,16,1.33333333333333,0.8,0.0524590163934426,22,1.35555555555556,0.88,0.0721311475409836,15,1.3872043662826,0.882352941176471,0.0491803278688525,19,1.42243495336279,0.904761904761905,0.0622950819672131,15,1.20394736842105,0.75,0.0491803278688525,18,1.37939698492462,0.9,0.059016393442623,18,1.13242574257426,0.75,0.059016393442623,14,1.36858974358974,0.875,0.0459016393442623,18,1.13782383419689,0.72,0.059016393442623,25,1.31465517241379,0.862068965517241,0.0819672131147541,20,1.50691699604743,0.909090909090909,0.0655737704918033,19,1.13716640502355,0.730769230769231,0.0622950819672131,20,1.29018612521151,0.833333333333333,0.0655737704918033,18,1.25629290617849,0.782608695652174,0.059016393442623,24,1.29442970822281,0.827586206896552,0.0786885245901639,12,1.19140625,0.75,0.039344262295082,19,1.21948653198653,0.791666666666667,0.0622950819672131,28,1.35706340378198,0.903225806451613,0.0918032786885246,21,1.15718157181572,0.777777777777778,0.0688524590163934,16,1.31713900134953,0.842105263157895,0.0524590163934426,17,1.33634020618557,0.85,0.0557377049180328,18,1.27319109461967,0.818181818181818,0.059016393442623,26,1.30858085808581,0.866666666666667,0.0852459016393443,16,1.29787234042553,0.8,0.0524590163934426,17,1.2524154589372,0.739130434782609,0.0557377049180328,23,1.33925162275678,0.851851851851852,0.0754098360655738,16,1.3307881101718,0.842105263157895,0.0524590163934426,21,1.37860525182953,0.91304347826087,0.0688524590163934,20,1.22613065326633,0.8,0.0655737704918033,20,1.43360752056404,0.869565217391304,0.0655737704918033,18,1.36363636363636,0.818181818181818,0.059016393442623,18,1.35656041512231,0.947368421052632,0.059016393442623,13,1.22112719433323,0.764705882352941,0.0426229508196721
"97",97,"fxet3=1,escol4=0,alcool=0,ppl=0,pdres5=1,cavitacao=0","encerra2=0",22,1.25280059746079,0.846153846153846,0.0721311475409836,20,1.33071553228621,0.833333333333333,0.0655737704918033,17,1.10225340136054,0.708333333333333,0.0557377049180328,15,1.3872043662826,0.882352941176471,0.0491803278688525,16,1.33333333333333,0.8,0.0524590163934426,22,1.35555555555556,0.88,0.0721311475409836,15,1.3872043662826,0.882352941176471,0.0491803278688525,19,1.42243495336279,0.904761904761905,0.0622950819672131,15,1.20394736842105,0.75,0.0491803278688525,18,1.37939698492462,0.9,0.059016393442623,18,1.13242574257426,0.75,0.059016393442623,14,1.36858974358974,0.875,0.0459016393442623,18,1.13782383419689,0.72,0.059016393442623,25,1.31465517241379,0.862068965517241,0.0819672131147541,20,1.50691699604743,0.909090909090909,0.0655737704918033,19,1.13716640502355,0.730769230769231,0.0622950819672131,20,1.29018612521151,0.833333333333333,0.0655737704918033,18,1.25629290617849,0.782608695652174,0.059016393442623,24,1.29442970822281,0.827586206896552,0.0786885245901639,12,1.19140625,0.75,0.039344262295082,19,1.21948653198653,0.791666666666667,0.0622950819672131,28,1.35706340378198,0.903225806451613,0.0918032786885246,21,1.15718157181572,0.777777777777778,0.0688524590163934,16,1.31713900134953,0.842105263157895,0.0524590163934426,17,1.33634020618557,0.85,0.0557377049180328,18,1.27319109461967,0.818181818181818,0.059016393442623,26,1.30858085808581,0.866666666666667,0.0852459016393443,16,1.29787234042553,0.8,0.0524590163934426,17,1.2524154589372,0.739130434782609,0.0557377049180328,23,1.33925162275678,0.851851851851852,0.0754098360655738,16,1.3307881101718,0.842105263157895,0.0524590163934426,21,1.37860525182953,0.91304347826087,0.0688524590163934,20,1.22613065326633,0.8,0.0655737704918033,20,1.43360752056404,0.869565217391304,0.0655737704918033,18,1.36363636363636,0.818181818181818,0.059016393442623,18,1.35656041512231,0.947368421052632,0.059016393442623,13,1.22112719433323,0.764705882352941,0.0426229508196721
"98",98,"fxet3=1,escol4=0,alcool=0,ppl=0,pdres5=1,tipores3=0","encerra2=0",24,1.36669156086632,0.923076923076923,0.0786885245901639,24,1.41942990110529,0.888888888888889,0.0786885245901639,19,1.23193027210884,0.791666666666667,0.0622950819672131,23,1.39076130055512,0.884615384615385,0.0754098360655738,17,1.23188405797101,0.739130434782609,0.0557377049180328,31,1.36435786435786,0.885714285714286,0.101639344262295,27,1.32651417525773,0.84375,0.0885245901639344,28,1.42001995344197,0.903225806451613,0.0918032786885246,25,1.33771929824561,0.833333333333333,0.0819672131147541,21,1.28743718592965,0.84,0.0688524590163934,28,1.36378153944427,0.903225806451613,0.0918032786885246,24,1.25128205128205,0.8,0.0786885245901639,19,1.25107944732297,0.791666666666667,0.0622950819672131,25,1.19140625,0.78125,0.0819672131147541,26,1.34680706521739,0.8125,0.0852459016393443,26,1.39514426460239,0.896551724137931,0.0852459016393443,28,1.35469543147208,0.875,0.0918032786885246,22,1.26127819548872,0.785714285714286,0.0721311475409836,24,1.13752913752914,0.727272727272727,0.0786885245901639,25,1.20344065656566,0.757575757575758,0.0819672131147541,28,1.34785353535354,0.875,0.0918032786885246,30,1.36587550380654,0.909090909090909,0.0983606557377049,32,1.3602787456446,0.914285714285714,0.104918032786885,24,1.29442970822281,0.827586206896552,0.0786885245901639,24,1.39747995418099,0.888888888888889,0.0786885245901639,20,1.24489795918367,0.8,0.0655737704918033,31,1.3766744321491,0.911764705882353,0.101639344262295,15,1.35195035460993,0.833333333333333,0.0491803278688525,22,1.38065843621399,0.814814814814815,0.0721311475409836,24,1.21715996009312,0.774193548387097,0.0786885245901639,29,1.23862204173085,0.783783783783784,0.0950819672131148,19,1.43440594059406,0.95,0.0622950819672131,21,1.19207146845338,0.777777777777778,0.0688524590163934,21,1.33160083160083,0.807692307692308,0.0688524590163934,14,1.45833333333333,0.875,0.0459016393442623,25,1.43192488262911,1,0.0819672131147541,16,1.27748691099476,0.8,0.0524590163934426
"99",99,"fxet3=1,escol4=0,alcool=0,ppl=0,tipores3=0","encerra2=0",24,1.36669156086632,0.923076923076923,0.0786885245901639,24,1.41942990110529,0.888888888888889,0.0786885245901639,19,1.23193027210884,0.791666666666667,0.0622950819672131,23,1.39076130055512,0.884615384615385,0.0754098360655738,17,1.23188405797101,0.739130434782609,0.0557377049180328,31,1.36435786435786,0.885714285714286,0.101639344262295,27,1.32651417525773,0.84375,0.0885245901639344,28,1.42001995344197,0.903225806451613,0.0918032786885246,25,1.33771929824561,0.833333333333333,0.0819672131147541,21,1.28743718592965,0.84,0.0688524590163934,28,1.36378153944427,0.903225806451613,0.0918032786885246,24,1.25128205128205,0.8,0.0786885245901639,19,1.25107944732297,0.791666666666667,0.0622950819672131,25,1.19140625,0.78125,0.0819672131147541,26,1.34680706521739,0.8125,0.0852459016393443,26,1.39514426460239,0.896551724137931,0.0852459016393443,28,1.35469543147208,0.875,0.0918032786885246,22,1.26127819548872,0.785714285714286,0.0721311475409836,24,1.13752913752914,0.727272727272727,0.0786885245901639,25,1.20344065656566,0.757575757575758,0.0819672131147541,28,1.34785353535354,0.875,0.0918032786885246,30,1.36587550380654,0.909090909090909,0.0983606557377049,32,1.3602787456446,0.914285714285714,0.104918032786885,24,1.29442970822281,0.827586206896552,0.0786885245901639,24,1.39747995418099,0.888888888888889,0.0786885245901639,20,1.24489795918367,0.8,0.0655737704918033,31,1.3766744321491,0.911764705882353,0.101639344262295,15,1.35195035460993,0.833333333333333,0.0491803278688525,22,1.38065843621399,0.814814814814815,0.0721311475409836,24,1.21715996009312,0.774193548387097,0.0786885245901639,29,1.23862204173085,0.783783783783784,0.0950819672131148,19,1.43440594059406,0.95,0.0622950819672131,21,1.19207146845338,0.777777777777778,0.0688524590163934,21,1.33160083160083,0.807692307692308,0.0688524590163934,14,1.45833333333333,0.875,0.0459016393442623,25,1.43192488262911,1,0.0819672131147541,16,1.27748691099476,0.8,0.0524590163934426
"100",100,"fxet3=1,escol4=0,alcool=0,tipores3=0","encerra2=0",24,1.36669156086632,0.923076923076923,0.0786885245901639,24,1.41942990110529,0.888888888888889,0.0786885245901639,19,1.23193027210884,0.791666666666667,0.0622950819672131,23,1.39076130055512,0.884615384615385,0.0754098360655738,17,1.18055555555556,0.708333333333333,0.0557377049180328,31,1.32645903479237,0.861111111111111,0.101639344262295,27,1.32651417525773,0.84375,0.0885245901639344,28,1.37564432989691,0.875,0.0918032786885246,25,1.33771929824561,0.833333333333333,0.0819672131147541,21,1.28743718592965,0.84,0.0688524590163934,28,1.36378153944427,0.903225806451613,0.0918032786885246,24,1.25128205128205,0.8,0.0786885245901639,19,1.25107944732297,0.791666666666667,0.0622950819672131,25,1.19140625,0.78125,0.0819672131147541,26,1.30599472990777,0.787878787878788,0.0852459016393443,26,1.34863945578231,0.866666666666667,0.0852459016393443,28,1.31364405476081,0.848484848484849,0.0918032786885246,22,1.26127819548872,0.785714285714286,0.0721311475409836,24,1.13752913752914,0.727272727272727,0.0786885245901639,25,1.20344065656566,0.757575757575758,0.0819672131147541,28,1.34785353535354,0.875,0.0918032786885246,30,1.32570269487105,0.882352941176471,0.0983606557377049,32,1.3602787456446,0.914285714285714,0.104918032786885,24,1.29442970822281,0.827586206896552,0.0786885245901639,24,1.39747995418099,0.888888888888889,0.0786885245901639,20,1.24489795918367,0.8,0.0655737704918033,31,1.3766744321491,0.911764705882353,0.101639344262295,15,1.35195035460993,0.833333333333333,0.0491803278688525,22,1.38065843621399,0.814814814814815,0.0721311475409836,24,1.21715996009312,0.774193548387097,0.0786885245901639,29,1.23862204173085,0.783783783783784,0.0950819672131148,19,1.43440594059406,0.95,0.0622950819672131,21,1.14949748743719,0.75,0.0688524590163934,21,1.28228228228228,0.777777777777778,0.0688524590163934,14,1.37254901960784,0.823529411764706,0.0459016393442623,25,1.37685084868183,0.961538461538462,0.0819672131147541,16,1.27748691099476,0.8,0.0524590163934426
"101",101,"fxet3=1,escol4=0,comtabagis=0,cavitacao=0","encerra2=0",24,1.26907073509015,0.857142857142857,0.0786885245901639,19,1.31914409287503,0.826086956521739,0.0622950819672131,17,1.10225340136054,0.708333333333333,0.0557377049180328,14,1.37564432989691,0.875,0.0459016393442623,19,1.3768115942029,0.826086956521739,0.0622950819672131,22,1.35555555555556,0.88,0.0721311475409836,17,1.40667390124797,0.894736842105263,0.0557377049180328,20,1.42924086223055,0.909090909090909,0.0655737704918033,16,1.22305764411028,0.761904761904762,0.0524590163934426,18,1.37939698492462,0.9,0.059016393442623,19,1.14752475247525,0.76,0.0622950819672131,15,1.38009049773756,0.882352941176471,0.0491803278688525,19,1.15484256675967,0.730769230769231,0.0622950819672131,23,1.29907407407407,0.851851851851852,0.0754098360655738,18,1.49184782608696,0.9,0.059016393442623,18,1.12040816326531,0.72,0.059016393442623,20,1.29018612521151,0.833333333333333,0.0655737704918033,19,1.27083333333333,0.791666666666667,0.0622950819672131,25,1.3034188034188,0.833333333333333,0.0819672131147541,14,1.23553240740741,0.777777777777778,0.0459016393442623,17,1.19031221303949,0.772727272727273,0.0557377049180328,30,1.36587550380654,0.909090909090909,0.0983606557377049,22,1.16898954703833,0.785714285714286,0.0721311475409836,16,1.31713900134953,0.842105263157895,0.0524590163934426,17,1.33634020618557,0.85,0.0557377049180328,15,1.22851772287863,0.789473684210526,0.0491803278688525,27,1.31507505589269,0.870967741935484,0.0885245901639344,17,1.31332320162107,0.80952380952381,0.0557377049180328,18,1.27083333333333,0.75,0.059016393442623,25,1.35531461073587,0.862068965517241,0.0819672131147541,15,1.31692573402418,0.833333333333333,0.0491803278688525,21,1.37860525182953,0.91304347826087,0.0688524590163934,19,1.21335845896147,0.791666666666667,0.0622950819672131,19,1.42383292383292,0.863636363636364,0.0622950819672131,17,1.34920634920635,0.80952380952381,0.0557377049180328,18,1.35656041512231,0.947368421052632,0.059016393442623,14,1.24200116346713,0.777777777777778,0.0459016393442623
