"","ID","LHSandRHS","Desfechos","count.x","lift.x","confidence.x","support.x","count.y","lift.y","confidence.y","support.y","count.x.1","lift.x.1","confidence.x.1","support.x.1","count.y.1","lift.y.1","confidence.y.1","support.y.1"
"22",22,"escol4=1,alcool=0,bilateral=0","encerra2=1",27,1.66426783479349,0.264705882352941,0.0456852791878173,28,1.53122975848987,0.261682242990654,0.0473773265651438,22,1.39806451612903,0.22,0.0372250423011844,24,1.27668766876688,0.218181818181818,0.0406091370558376
"23",23,"escol4=1,alcool=0,comdiab=0,bilateral=0","encerra2=1",25,1.96476063829787,0.3125,0.0423011844331641,27,1.83709417453373,0.313953488372093,0.0456852791878173,20,1.65060745705907,0.25974025974026,0.0338409475465313,23,1.58334304018637,0.270588235294118,0.038917089678511
"24",24,"escol4=1,alcool=0,comdiab=0,pdres5=1,bilateral=0","encerra2=1",25,2.01513911620295,0.320512820512821,0.0423011844331641,27,1.85870704717531,0.317647058823529,0.0456852791878173,20,1.6723259762309,0.263157894736842,0.0338409475465313,23,1.62149588452821,0.27710843373494,0.038917089678511
"25",25,"escol4=1,alcool=0,pdres5=1,bilateral=0","encerra2=1",27,1.69755319148936,0.27,0.0456852791878173,28,1.54567532224921,0.264150943396226,0.0473773265651438,22,1.41218637992832,0.222222222222222,0.0372250423011844,24,1.3003300330033,0.222222222222222,0.0406091370558376
"27",27,"escol4=1,comdiab=0","encerra2=1",61,1.20984629840929,0.192429022082019,0.10321489001692,71,1.29829826732673,0.221875,0.120135363790186,61,1.25451508508195,0.197411003236246,0.10321489001692,66,1.20310909595632,0.205607476635514,0.111675126903553
"29",29,"escol4=1,mumigual=0","encerra2=1",45,1.30984042553191,0.208333333333333,0.0761421319796954,50,1.34826846739974,0.230414746543779,0.0846023688663283,42,1.30834914611006,0.205882352941176,0.0710659898477157,44,1.19196919691969,0.203703703703704,0.0744500846023689
"30",30,"escol4=1,pdres5=1","encerra2=1",67,1.14158450095139,0.181571815718157,0.11336717428088,77,1.20794733628859,0.206434316353887,0.130287648054146,70,1.20880084151473,0.190217391304348,0.11844331641286,72,1.12049715609859,0.191489361702128,0.121827411167513
"34",34,"fxet3=1,alcool=1","encerra2=1",33,1.50346901017576,0.239130434782609,0.0558375634517767,38,1.57699599747209,0.269503546099291,0.0642978003384095,30,1.42272508425614,0.223880597014925,0.050761421319797,33,1.48537699923839,0.253846153846154,0.0558375634517767
"47",47,"fxet3=1,escol4=1","encerra2=1",65,1.22723787617405,0.195195195195195,0.109983079526227,73,1.26753239122132,0.216617210682493,0.123519458544839,65,1.25171065493646,0.196969696969697,0.109983079526227,68,1.17374923333041,0.200589970501475,0.115059221658206
"48",48,"fxet3=1,escol4=1,comdiab=0","encerra2=1",60,1.29189740600408,0.205479452054795,0.101522842639594,68,1.35340472822792,0.231292517006803,0.115059221658206,59,1.32486036703522,0.208480565371025,0.0998307952622673,63,1.25388967468175,0.214285714285714,0.106598984771574
"49",49,"fxet3=1,escol4=1,pdres5=1","encerra2=1",64,1.23810147299509,0.196923076923077,0.1082910321489,72,1.28056817839839,0.218844984802432,0.121827411167513,65,1.27489048187973,0.200617283950617,0.109983079526227,67,1.18087200286294,0.201807228915663,0.11336717428088
"52",52,"fxet3=1,mumigual=0,comdiab=0,cavitacao=1","encerra2=1",51,1.40021369506643,0.222707423580786,0.0862944162436548,48,1.28251729282517,0.219178082191781,0.0812182741116751,39,1.19728845254792,0.188405797101449,0.065989847715736,47,1.27916186967534,0.218604651162791,0.0795262267343486
"56",56,"mumigual=0,cavitacao=1","encerra2=1",57,1.2753464072083,0.202846975088968,0.0964467005076142,56,1.21815304207001,0.20817843866171,0.0947546531302876,48,1.15106512477176,0.181132075471698,0.0812182741116751,55,1.19196919691969,0.203703703703704,0.0930626057529611
