"","ID","LHSandRHS","Desfechos","count.x","lift.x","confidence.x","support.x","count.y","lift.y","confidence.y","support.y","count.x.1","lift.x.1","confidence.x.1","support.x.1","count.y.1","lift.y.1","confidence.y.1","support.y.1"
"1",1,"alcool=0,comdiab=1,bilateral=0","encerra2=0",27,1.22219669117647,0.794117647058823,0.0456852791878173,22,1.24159663865546,0.785714285714286,0.0372250423011844,25,1.14508253894443,0.757575757575758,0.0423011844331641,27,1.21253799392097,0.771428571428571,0.0456852791878173
"2",2,"alcool=0,comdrogas=0,tipores3=0","encerra2=0",84,1.19704861111111,0.777777777777778,0.142131979695431,79,1.20035479226656,0.759615384615385,0.133671742808799,88,1.18761417610522,0.785714285714286,0.148900169204738,84,1.21130197150107,0.770642201834862,0.142131979695431
"3",3,"alcool=0,tipores3=0","encerra2=0",89,1.17073985042735,0.760683760683761,0.150592216582064,85,1.17822966507177,0.745614035087719,0.143824027072758,93,1.15221584000671,0.762295081967213,0.157360406091371,90,1.15953086850366,0.737704918032787,0.152284263959391
"4",4,"bilateral=0,tipores3=0","encerra2=0",54,1.22219669117647,0.794117647058823,0.0913705583756345,49,1.20985127005348,0.765625,0.0829103214890017,55,1.2225440048142,0.808823529411765,0.0930626057529611,51,1.17885638297872,0.75,0.0862944162436548
"5",5,"cavitacao=0,tipores3=0","encerra2=0",27,1.298583984375,0.84375,0.0456852791878173,32,1.23333768097039,0.780487804878049,0.0541455160744501,32,1.27284964328981,0.842105263157895,0.0541455160744501,27,1.14699539965497,0.72972972972973,0.0456852791878173
"6",6,"comdrogas=0,bilateral=0,tipores3=0","encerra2=0",49,1.25690104166667,0.816666666666667,0.0829103214890017,45,1.26981474407945,0.803571428571429,0.0761421319796954,50,1.25959079283887,0.833333333333333,0.0846023688663283,47,1.23125,0.783333333333333,0.0795262267343486
"9",9,"escol4=0,alcool=0","encerra2=0",142,1.17498319892473,0.763440860215054,0.240270727580372,143,1.2281010230179,0.777173913043478,0.241962774957699,150,1.17474788969429,0.77720207253886,0.253807106598985,136,1.17453822772972,0.747252747252747,0.230118443316413
"10",10,"escol4=0,alcool=0,comdrogas=0,tipores3=0","encerra2=0",48,1.27370689655172,0.827586206896552,0.0812182741116751,50,1.3391643252062,0.847457627118644,0.0846023688663283,54,1.27533567774936,0.84375,0.0913705583756345,45,1.26306041033435,0.803571428571429,0.0761421319796954
"11",11,"escol4=0,alcool=0,tipores3=0","encerra2=0",49,1.23629610655738,0.80327868852459,0.0829103214890017,50,1.3168449197861,0.833333333333333,0.0846023688663283,55,1.25959079283887,0.833333333333333,0.0930626057529611,46,1.22547782185359,0.779661016949153,0.077834179357022
"12",12,"escol4=0,bilateral=0,tipores3=0","encerra2=0",28,1.30587121212121,0.848484848484849,0.0473773265651438,26,1.36951871657754,0.866666666666667,0.0439932318104907,28,1.24477207762901,0.823529411764706,0.0473773265651438,25,1.26758750857927,0.806451612903226,0.0423011844331641
"13",13,"escol4=0,cavitacao=0","encerra2=0",37,1.21160239361702,0.787234042553192,0.0626057529610829,47,1.32625095492743,0.839285714285714,0.0795262267343486,45,1.23668914205999,0.818181818181818,0.0761421319796954,39,1.15661380971497,0.735849056603774,0.065989847715736
"14",14,"escol4=0,comdrogas=0","encerra2=0",145,1.15033021907216,0.747422680412371,0.245346869712352,146,1.18313451254628,0.748717948717949,0.247038917089679,152,1.1545194000694,0.763819095477387,0.257191201353638,138,1.14766970618034,0.73015873015873,0.233502538071066
"15",15,"escol4=0,comtabagis=0","encerra2=0",132,1.12864583333333,0.733333333333333,0.223350253807107,138,1.1981841687724,0.758241758241758,0.233502538071066,144,1.16394272193881,0.770053475935829,0.243654822335025,130,1.13519503546099,0.722222222222222,0.219966159052453
