"","ID","LHSandRHS","Desfechos","count.x","lift.x","confidence.x","support.x","count.y","lift.y","confidence.y","support.y","count.x.1","lift.x.1","confidence.x.1","support.x.1","count.y.1","lift.y.1","confidence.y.1","support.y.1"
"7",7,"comtabagis=0,cavitacao=1,bilateral=1","encerra2=2",25,1.45337399173716,0.113122171945701,0.0423011844331641,28,1.5393488372093,0.130232558139535,0.0473773265651438,22,1.41633986928105,0.107843137254902,0.0372250423011844,23,1.32060623724862,0.105022831050228,0.038917089678511
"8",8,"comtabagis=0,ppl=0,cavitacao=1,bilateral=1","encerra2=2",25,1.47337455125648,0.114678899082569,0.0423011844331641,28,1.58354066985646,0.133971291866029,0.0473773265651438,22,1.47414965986395,0.112244897959184,0.0372250423011844,23,1.38379313855238,0.110047846889952,0.038917089678511
"36",36,"fxet3=1,cavitacao=1,bilateral=1","encerra2=2",29,1.34507926542144,0.104693140794224,0.0490693739424704,33,1.45544776119403,0.123134328358209,0.0558375634517767,27,1.36911196911197,0.104247104247104,0.0456852791878173,29,1.34560728586009,0.107011070110701,0.0490693739424704
"38",38,"fxet3=1,comtabagis=0,cavitacao=1,bilateral=1","encerra2=2",24,1.52647438656909,0.118811881188119,0.0406091370558376,27,1.62,0.137055837563452,0.0456852791878173,22,1.55340501792115,0.118279569892473,0.0372250423011844,23,1.46067053513862,0.116161616161616,0.038917089678511
"39",39,"fxet3=1,comtabagis=0,comdrogas=0,bilateral=1","encerra2=2",23,1.40714285714286,0.10952380952381,0.038917089678511,25,1.46287128712871,0.123762376237624,0.0423011844331641,22,1.41633986928105,0.107843137254902,0.0372250423011844,23,1.41079398028023,0.11219512195122,0.038917089678511
"40",40,"fxet3=1,comtabagis=0,comdrogas=0,cavitacao=1","encerra2=2",27,1.28478260869565,0.1,0.0456852791878173,32,1.39571955719557,0.118081180811808,0.0541455160744501,26,1.260024600246,0.0959409594095941,0.0439932318104907,28,1.28498214008386,0.102189781021898,0.0473773265651438
"41",41,"fxet3=1,comtabagis=0,comdrogas=0,cavitacao=1,bilateral=1","encerra2=2",21,1.56862992922144,0.122093023255814,0.0355329949238579,25,1.76946107784431,0.149700598802395,0.0423011844331641,20,1.63146997929607,0.124223602484472,0.0338409475465313,22,1.64665653495441,0.130952380952381,0.0372250423011844
"42",42,"fxet3=1,comtabagis=0,comdrogas=0,ppl=0,bilateral=1","encerra2=2",23,1.42753623188406,0.111111111111111,0.038917089678511,25,1.5,0.126903553299492,0.0423011844331641,22,1.47414965986395,0.112244897959184,0.0372250423011844,23,1.46808510638298,0.116751269035533,0.038917089678511
"43",43,"fxet3=1,comtabagis=0,comdrogas=0,ppl=0,cavitacao=1","encerra2=2",27,1.31398221343874,0.102272727272727,0.0456852791878173,32,1.4436641221374,0.122137404580153,0.0541455160744501,26,1.30830140485313,0.0996168582375479,0.0439932318104907,28,1.33365570599613,0.106060606060606,0.0473773265651438
"44",44,"fxet3=1,comtabagis=0,ppl=0,cavitacao=1,bilateral=1","encerra2=2",24,1.54948656325104,0.120603015075377,0.0406091370558376,27,1.67089005235602,0.141361256544503,0.0456852791878173,22,1.62322097378277,0.123595505617978,0.0372250423011844,23,1.5383657763694,0.122340425531915,0.038917089678511
"53",53,"fxet3=1,ppl=0,cavitacao=1,bilateral=1","encerra2=2",29,1.3748596181614,0.107011070110701,0.0490693739424704,33,1.50602316602317,0.127413127413127,0.0558375634517767,27,1.42983870967742,0.108870967741935,0.0456852791878173,29,1.41890885007037,0.11284046692607,0.0490693739424704
"54",54,"hiv3=0,alcool=0,comdiab=0,ppl=0,tipores3=1","encerra2=2",21,1.38361204013378,0.107692307692308,0.0355329949238579,20,1.22487046632124,0.103626943005181,0.0338409475465313,21,1.45925925925926,0.111111111111111,0.0355329949238579,19,1.237901003197,0.0984455958549223,0.0321489001692047
"55",55,"hiv3=0,alcool=0,comdiab=0,tipores3=1","encerra2=2",21,1.34231018818949,0.104477611940299,0.0355329949238579,20,1.17029702970297,0.099009900990099,0.0338409475465313,21,1.39292929292929,0.106060606060606,0.0355329949238579,19,1.17115143929912,0.0931372549019608,0.0321489001692047
"61",61,"ppl=0,cavitacao=1,bilateral=1","encerra2=2",30,1.30214453584019,0.101351351351351,0.050761421319797,35,1.45157894736842,0.12280701754386,0.0592216582064298,28,1.34700854700855,0.102564102564103,0.0473773265651438,29,1.29772090558037,0.103202846975089,0.0490693739424704
