"","LHSandRHS","count","lift","confidence","support","count.x","lift.x","confidence.x","support.x","count.y","lift.y","confidence.y","support.y","count.x.1","lift.x.1","confidence.x.1","support.x.1","count.y.1","lift.y.1","confidence.y.1","support.y.1"
"13550","sexo2=1,escol4=0,mumigual=1,alcool=0,comdiab=0,comtabagis=0,pdres5=1,tipores3=1  encerra2=0",10,1.15881458966565,0.714285714285714,0.0327868852459016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13551","sexo2=1,fxet3=1,escol4=0,mumigual=1,alcool=0,comtabagis=0,ppl=0,tipores3=1  encerra2=0",11,1.27469604863222,0.785714285714286,0.0360655737704918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13552","sexo2=1,fxet3=1,escol4=0,mumigual=1,alcool=0,comtabagis=0,pdres5=1,tipores3=1  encerra2=0",11,1.27469604863222,0.785714285714286,0.0360655737704918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13553","sexo2=1,escol4=0,mumigual=1,alcool=0,comtabagis=0,ppl=0,pdres5=1,tipores3=1  encerra2=0",11,1.11535904255319,0.6875,0.0360655737704918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13554","sexo2=1,fxet3=1,escol4=0,mumigual=1,comdiab=0,comtabagis=0,ppl=0,tipores3=1  encerra2=0",10,1.24795417348609,0.769230769230769,0.0327868852459016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13555","sexo2=1,fxet3=1,escol4=0,mumigual=1,comdiab=0,comtabagis=0,pdres5=1,tipores3=1  encerra2=0",10,1.24795417348609,0.769230769230769,0.0327868852459016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13556","sexo2=1,escol4=0,mumigual=1,comdiab=0,comtabagis=0,ppl=0,pdres5=1,tipores3=1  encerra2=0",10,1.15881458966565,0.714285714285714,0.0327868852459016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13557","sexo2=1,fxet3=1,escol4=0,mumigual=1,comtabagis=0,ppl=0,pdres5=1,tipores3=1  encerra2=0",11,1.27469604863222,0.785714285714286,0.0360655737704918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13558","sexo2=1,fxet3=1,escol4=0,mumigual=1,alcool=0,comdiab=0,comtabagis=0,ppl=0  encerra2=0",10,1.15881458966565,0.714285714285714,0.0327868852459016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13559","sexo2=1,fxet3=1,escol4=0,mumigual=1,alcool=0,comdiab=0,comtabagis=0,pdres5=1  encerra2=0",10,1.15881458966565,0.714285714285714,0.0327868852459016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
