"","LHSandRHS","count","lift","confidence","support","count.x","lift.x","confidence.x","support.x","count.y","lift.y","confidence.y","support.y","count.x.1","lift.x.1","confidence.x.1","support.x.1","count.y.1","lift.y.1","confidence.y.1","support.y.1"
"1","hiv3=0,bilateral=1  encerra2=2",11,1.12470667113644,0.0700636942675159,0.0360655737704918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","comdiab=0,bilateral=1  encerra2=2",11,1.11758827448368,0.069620253164557,0.0360655737704918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","comtabagis=0,comdrogas=0  encerra2=2",14,1.16443959640033,0.0725388601036269,0.0459016393442623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","comtabagis=0,tipores3=1  encerra2=2",13,1.104149262044,0.0687830687830688,0.0426229508196721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","comdiab=0,comdrogas=0  encerra2=2",14,1.11809374181723,0.0696517412935323,0.0459016393442623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","comtabagis=1,ppl=0  encerra2=3",11,1.31259780907668,0.154929577464789,0.0360655737704918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","comtabagis=1,pdres5=1  encerra2=3",10,1.21031746031746,0.142857142857143,0.0327868852459016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","sexo2=0,raca3=1  encerra2=3",11,1.47927689594356,0.174603174603175,0.0360655737704918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","sexo2=0,bilateral=1  encerra2=3",10,1.54040404040404,0.181818181818182,0.0327868852459016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","sexo2=0,escol4=1  encerra2=3",11,1.33134920634921,0.157142857142857,0.0360655737704918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","sexo2=0,tipores3=1  encerra2=3",12,1.22489959839357,0.144578313253012,0.039344262295082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","raca3=1,comdrogas=0  encerra2=3",22,1.15769496204279,0.136645962732919,0.0721311475409836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","raca3=1,tipores3=1  encerra2=3",20,1.10748002904866,0.130718954248366,0.0655737704918033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","raca3=1,cavitacao=1  encerra2=3",20,1.1002886002886,0.12987012987013,0.0655737704918033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","comdrogas=0,bilateral=1  encerra2=3",22,1.23436350257542,0.145695364238411,0.0721311475409836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
