"","ID","alcool.0","alcool.1","bilateral.0","bilateral.1","cavitacao.0","cavitacao.1","comdiab.0","comdiab.1","comdrogas.0","comtabagis.0","escol4.0","escol4.1","fxet3.1","hiv3.0","mumigual.0","mumigual.1","pdres5.1","ppl.0","raca3.0","raca3.1","sexo2.0","sexo2.1","tipores3.0","tipores3.1","Desfechos","count","lift","confidence","support","count.x","lift.x","confidence.x","support.x","count.y","lift.y","confidence.y","support.y"
"20",20,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=3",39,1.43939299319303,0.163179916317992,0.065989847715736,42,1.40348298088884,0.175732217573222,0.0710659898477157,43,1.50702721935599,0.186147186147186,0.0727580372250423
"24",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"encerra2=3",52,1.27412935323383,0.144444444444444,0.0879864636209814,55,1.20674933174933,0.151098901098901,0.0930626057529611,58,1.33398194271482,0.164772727272727,0.0981387478849408
"25",25,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"encerra2=3",38,1.48975124378109,0.168888888888889,0.0642978003384095,41,1.42367802585194,0.178260869565217,0.0693739424703892,43,1.59689581500566,0.197247706422018,0.0727580372250423
"26",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,"encerra2=3",47,1.46495438004325,0.166077738515901,0.0795262267343486,46,1.27120546151688,0.15916955017301,0.077834179357022,49,1.48576265968909,0.183520599250936,0.0829103214890017
"27",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"encerra2=3",48,1.42559927634555,0.161616161616162,0.0812182741116751,47,1.24705935171051,0.156146179401993,0.0795262267343486,49,1.39192501802451,0.171929824561404,0.0829103214890017
"88",88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,"encerra2=3",44,1.13818006740491,0.129032258064516,0.0744500846023689,51,1.17380637121271,0.146974063400576,0.0862944162436548,51,1.18646669815777,0.146551724137931,0.0862944162436548
"89",89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,"encerra2=3",39,1.3030868385346,0.147727272727273,0.065989847715736,41,1.22181323114159,0.152985074626866,0.0693739424703892,43,1.32366269076514,0.163498098859316,0.0727580372250423
"90",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,"encerra2=3",39,1.26942776890455,0.143911439114391,0.065989847715736,41,1.18211532832471,0.148014440433213,0.0693739424703892,43,1.26131625967838,0.155797101449275,0.0727580372250423
