"","ID","alcool.0","alcool.1","bilateral.0","bilateral.1","cavitacao.0","cavitacao.1","comdiab.0","comdiab.1","comdrogas.0","comtabagis.0","escol4.0","escol4.1","fxet3.1","hiv3.0","mumigual.0","mumigual.1","pdres5.1","ppl.0","raca3.0","raca3.1","sexo2.0","sexo2.1","tipores3.0","tipores3.1","Desfechos","count","lift","confidence","support","count.x","lift.x","confidence.x","support.x","count.y","lift.y","confidence.y","support.y"
"81",81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,"encerra2=1",43,1.32428348097968,0.226315789473684,0.0727580372250423,48,1.46377708978328,0.235294117647059,0.0812182741116751,41,1.34999164298847,0.212435233160622,0.0693739424703892
"82",82,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,"encerra2=1",39,1.44435392906379,0.246835443037975,0.065989847715736,42,1.56457611093602,0.251497005988024,0.0710659898477157,37,1.45141377937077,0.228395061728395,0.0626057529610829
"83",83,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,"encerra2=1",36,1.56039603960396,0.266666666666667,0.0609137055837563,40,1.6700812433769,0.268456375838926,0.0676818950930626,36,1.57775305895439,0.248275862068966,0.0609137055837563
"84",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,"encerra2=1",45,1.24794706958848,0.213270142180095,0.0761421319796954,49,1.36695775312721,0.219730941704036,0.0829103214890017,43,1.25925375353055,0.19815668202765,0.0727580372250423
"85",85,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,"encerra2=1",39,1.36651449576095,0.233532934131737,0.065989847715736,42,1.46788882318155,0.235955056179775,0.0710659898477157,37,1.36702925731433,0.215116279069767,0.0626057529610829
"86",86,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,"encerra2=1",42,1.41242744964152,0.241379310344828,0.0710659898477157,47,1.52286184210526,0.244791666666667,0.0795262267343486,42,1.42728997757461,0.224598930481283,0.0710659898477157
"87",87,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,"encerra2=1",36,1.52647438656909,0.260869565217391,0.0609137055837563,40,1.61585782638414,0.25974025974026,0.0676818950930626,36,1.53539727213683,0.241610738255034,0.0609137055837563
"96",96,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"encerra2=1",67,1.14970529310996,0.196480938416422,0.11336717428088,64,1.15740514075887,0.186046511627907,0.1082910321489,66,1.21570827489481,0.191304347826087,0.111675126903553
"98",98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"encerra2=1",69,1.17712091908899,0.201166180758017,0.116751269035533,65,1.1720823798627,0.188405797101449,0.109983079526227,67,1.2341280972417,0.194202898550725,0.11336717428088
"99",99,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"encerra2=1",65,1.24703781853595,0.213114754098361,0.109983079526227,63,1.252160753321,0.201277955271566,0.106598984771574,64,1.29939194063692,0.204472843450479,0.1082910321489
"100",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,"encerra2=1",45,1.38587806149036,0.236842105263158,0.0761421319796954,45,1.39973684210526,0.225,0.0761421319796954,40,1.33786078098472,0.210526315789474,0.0676818950930626
"101",101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,"encerra2=1",34,1.46287128712871,0.25,0.0575296108291032,34,1.47913139492087,0.237762237762238,0.0575296108291032,31,1.41726618705036,0.223021582733813,0.0524534686971235
"102",102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,"encerra2=1",54,1.19689468946895,0.204545454545455,0.0913705583756345,52,1.22073485600794,0.19622641509434,0.0879864636209814,55,1.3239247311828,0.208333333333333,0.0930626057529611
"103",103,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,"encerra2=1",44,1.43036303630363,0.244444444444444,0.0744500846023689,44,1.39656283566058,0.224489795918367,0.0744500846023689,40,1.36663198057579,0.21505376344086,0.0676818950930626
